speaker,word,n
mr. francis,evidence,12
mr. francis,parliament,12
mr. francis,power,12
mr. francis,law,11
mr. francis,papers,11
mr. francis,government,10
mr. francis,received,10
mr. francis,time,10
mr. francis,information,9
mr. francis,inquiry,9
mr. francis,company,8
mr. francis,directors,8
mr. francis,force,8
mr. francis,hostilities,8
mr. francis,laid,8
mr. perceral,estimates,4
mr. perceral,extremely,3
mr. perceral,tax,3
mr. perceral,arise,2
mr. perceral,auction,2
mr. perceral,bidder,2
mr. perceral,difficulties,2
mr. perceral,estate,2
mr. perceral,glad,2
mr. perceral,nature,2
mr. perceral,parts,2
mr. perceral,ready,2
mr. perceral,satisfactory,2
mr. perceral,west,2
mr. perceral,acquainted,1
mr. perceral,administration,1
mr. perceral,adopted,1
mr. perceral,afterwards,1
mr. perceral,alluded,1
mr. perceral,appraisement,1
mr. rose,gent,57
mr. rose,country,29
mr. rose,duty,22
mr. rose,crown,20
mr. rose,public,20
mr. rose,000,19
mr. rose,time,18
mr. rose,government,15
mr. rose,palmer,15
mr. rose,provision,14
mr. rose,volunteers,14
mr. rose,parliament,13
mr. rose,alluded,12
mr. rose,college,12
mr. rose,institution,12
mr. rose,corps,11
mr. rose,plan,11
mr. rose,revenue,11
mr. rose,west,11
mr. rose,allowed,10
mr. secretary fox,abuses,5
mr. secretary fox,frauds,4
mr. secretary fox,government,4
mr. secretary fox,inconvenience,4
mr. secretary fox,ways,4
mr. secretary fox,year,4
mr. secretary fox,1,3
mr. secretary fox,administration,3
mr. secretary fox,advance,3
mr. secretary fox,bringing,3
mr. secretary fox,charge,3
mr. secretary fox,end,3
mr. secretary fox,regularly,3
mr. secretary fox,tax,3
mr. secretary fox,army,2
mr. secretary fox,confidence,2
mr. secretary fox,considered,2
mr. secretary fox,doubt,2
mr. secretary fox,estimates,2
mr. secretary fox,exceed,2
mr. a. h. dyke acland,schools,26
mr. a. h. dyke acland,voluntary,16
mr. a. h. dyke acland,school,15
mr. a. h. dyke acland,districts,14
mr. a. h. dyke acland,relief,13
mr. a. h. dyke acland,rate,10
mr. a. h. dyke acland,boards,8
mr. a. h. dyke acland,efficiency,8
mr. a. h. dyke acland,ratepayers,8
mr. a. h. dyke acland,child,7
mr. a. h. dyke acland,education,7
mr. a. h. dyke acland,millions,7
mr. a. h. dyke acland,000,6
mr. a. h. dyke acland,5s,5
mr. a. h. dyke acland,money,5
mr. a. h. dyke acland,people,5
mr. a. h. dyke acland,1s,4
mr. a. h. dyke acland,basis,4
mr. a. h. dyke acland,children,4
mr. a. h. dyke acland,government,4
mr. gerald balfour,jury,6
mr. gerald balfour,land,6
mr. gerald balfour,grand,5
mr. gerald balfour,law,5
mr. gerald balfour,assizes,4
mr. gerald balfour,grant,4
mr. gerald balfour,information,4
mr. gerald balfour,numbers,4
mr. gerald balfour,poor,4
mr. gerald balfour,union,4
mr. gerald balfour,year,4
mr. gerald balfour,1896,3
mr. gerald balfour,commissioners,3
mr. gerald balfour,government,3
mr. gerald balfour,parties,3
mr. gerald balfour,relief,3
mr. gerald balfour,1,2
mr. gerald balfour,amend,2
mr. gerald balfour,application,2
mr. gerald balfour,balfour,2
sir charles dilke,societies,13
sir charles dilke,friendly,12
sir charles dilke,registrar,12
sir charles dilke,section,10
sir charles dilke,fund,8
sir charles dilke,chief,5
sir charles dilke,28,4
sir charles dilke,apply,4
sir charles dilke,law,4
sir charles dilke,provision,4
sir charles dilke,rate,4
sir charles dilke,society,4
sir charles dilke,1896,3
sir charles dilke,2s,3
sir charles dilke,76,3
sir charles dilke,authority,3
sir charles dilke,end,3
sir charles dilke,levied,3
sir charles dilke,school,3
sir charles dilke,sense,3
the first lord of the treasury,cheers,17
the first lord of the treasury,schools,13
the first lord of the treasury,relief,12
the first lord of the treasury,country,10
the first lord of the treasury,government,10
the first lord of the treasury,rates,10
the first lord of the treasury,policy,9
the first lord of the treasury,districts,8
the first lord of the treasury,school,8
the first lord of the treasury,voluntary,8
the first lord of the treasury,year,8
the first lord of the treasury,education,7
the first lord of the treasury,ministerial,7
the first lord of the treasury,opposite,7
the first lord of the treasury,pockets,7
the first lord of the treasury,poor,7
the first lord of the treasury,public,7
the first lord of the treasury,ratepayers,6
the first lord of the treasury,argument,5
the first lord of the treasury,landlords,5
mr. wallace,nabob,72
mr. wallace,british,54
mr. wallace,sultaun,50
mr. wallace,ally,43
mr. wallace,country,43
mr. wallace,power,43
mr. wallace,correspondence,40
mr. wallace,government,40
mr. wallace,rights,39
mr. wallace,letter,38
mr. wallace,ul,36
mr. wallace,tippoo,34
mr. wallace,omdut,32
mr. wallace,omrah,31
mr. wallace,war,31
mr. wallace,carnatic,30
mr. wallace,nabobs,30
mr. wallace,connection,29
mr. wallace,conduct,26
mr. wallace,time,25
the earl of lauderdale,court,85
the earl of lauderdale,law,51
the earl of lauderdale,augmentation,45
the earl of lauderdale,1633,35
the earl of lauderdale,clergy,33
the earl of lauderdale,year,32
the earl of lauderdale,commission,30
the earl of lauderdale,ldps,29
the earl of lauderdale,decision,27
the earl of lauderdale,judgment,26
the earl of lauderdale,session,26
the earl of lauderdale,stipend,26
the earl of lauderdale,time,26
the earl of lauderdale,tithe,25
the earl of lauderdale,parliament,24
the earl of lauderdale,interlocutor,22
the earl of lauderdale,power,21
the earl of lauderdale,parties,20
the earl of lauderdale,purchase,20
the earl of lauderdale,rule,20
mr. barham,price,52
mr. barham,colonies,44
mr. barham,crop,36
mr. barham,sugar,30
mr. barham,corn,28
mr. barham,barley,27
mr. barham,market,25
mr. barham,interest,23
mr. barham,consumption,21
mr. barham,ireland,21
mr. barham,people,21
mr. barham,relief,21
mr. barham,time,21
mr. barham,country,20
mr. barham,land,19
mr. barham,supply,17
mr. barham,gent,15
mr. barham,religion,15
mr. barham,british,14
mr. barham,indeed,14
mr. grattan,catholics,63
mr. grattan,ireland,52
mr. grattan,catholic,48
mr. grattan,country,36
mr. grattan,petition,32
mr. grattan,religion,30
mr. grattan,parliament,29
mr. grattan,america,28
mr. grattan,people,28
mr. grattan,power,28
mr. grattan,subjects,28
mr. grattan,protestant,24
mr. grattan,church,23
mr. grattan,constitution,23
mr. grattan,political,23
mr. grattan,danger,22
mr. grattan,foreign,20
mr. grattan,pope,20
mr. grattan,empire,19
mr. grattan,enemy,19
mr. adam,court,82
mr. adam,law,73
mr. adam,judges,37
mr. adam,judicial,31
mr. adam,scotland,30
mr. adam,jury,28
mr. adam,tribunal,28
mr. adam,country,27
mr. adam,important,23
mr. adam,justice,23
mr. adam,reports,22
mr. adam,session,22
mr. adam,time,22
mr. adam,trial,22
mr. adam,election,21
mr. adam,opinions,21
mr. adam,sheriffs,21
mr. adam,clients,20
mr. adam,introduction,20
mr. adam,system,20
mr. whitbread,gent,388
mr. whitbread,country,232
mr. whitbread,time,210
mr. whitbread,public,202
mr. whitbread,duke,155
mr. whitbread,evidence,150
mr. whitbread,conduct,120
mr. whitbread,government,113
mr. whitbread,york,109
mr. whitbread,men,106
mr. whitbread,office,98
mr. whitbread,ministers,96
mr. whitbread,power,96
mr. whitbread,influence,93
mr. whitbread,witness,93
mr. whitbread,parliament,92
mr. whitbread,people,89
mr. whitbread,taylor,89
mr. whitbread,america,85
mr. whitbread,name,84
mr. croker,duke,95
mr. croker,clarke,57
mr. croker,col,49
mr. croker,evidence,44
mr. croker,gent,41
mr. croker,time,41
mr. croker,address,39
mr. croker,royal,37
mr. croker,indeed,30
mr. croker,name,29
mr. croker,charge,28
mr. croker,influence,28
mr. croker,highness,27
mr. croker,york,27
mr. croker,letters,26
mr. croker,witness,26
mr. croker,clarke's,25
mr. croker,false,25
mr. croker,others,24
mr. croker,circumstances,23
lord grenville,country,193
lord grenville,ministers,103
lord grenville,parliament,81
lord grenville,government,77
lord grenville,ireland,72
lord grenville,america,71
lord grenville,time,71
lord grenville,system,66
lord grenville,army,63
lord grenville,people,60
lord grenville,war,59
lord grenville,public,58
lord grenville,bank,52
lord grenville,paper,51
lord grenville,france,50
lord grenville,men,49
lord grenville,conduct,48
lord grenville,spain,48
lord grenville,british,46
lord grenville,duty,45
lord porchester,time,15
lord porchester,lords,11
lord porchester,public,10
lord porchester,country,9
lord porchester,reform,8
lord porchester,princes,7
lord porchester,conduct,6
lord porchester,ministers,6
lord porchester,period,6
lord porchester,word,6
lord porchester,commons,5
lord porchester,constitution,5
lord porchester,duty,5
lord porchester,leave,5
lord porchester,offices,5
lord porchester,opposition,5
lord porchester,parliament,5
lord porchester,reversion,5
lord porchester,times,5
lord porchester,weeks,5
mr. marryat,country,17
mr. marryat,bowles,15
mr. marryat,west,12
mr. marryat,sugar,11
mr. marryat,india,10
mr. marryat,price,9
mr. marryat,colonies,8
mr. marryat,000,7
mr. marryat,british,7
mr. marryat,government,7
mr. marryat,interests,7
mr. marryat,corn,6
mr. marryat,pamphlets,6
mr. marryat,planters,6
mr. marryat,public,6
mr. marryat,conduct,5
mr. marryat,agriculture,4
mr. marryat,commissioners,4
mr. marryat,hogsheads,4
mr. marryat,islands,4
mr. wellesley pole,gent,22
mr. wellesley pole,admiralty,18
mr. wellesley pole,letter,18
mr. wellesley pole,provisions,15
mr. wellesley pole,dec,13
mr. wellesley pole,office,11
mr. wellesley pole,time,11
mr. wellesley pole,victualling,11
mr. wellesley pole,weather,11
mr. wellesley pole,business,10
mr. wellesley pole,pay,9
mr. wellesley pole,wellesley,9
mr. wellesley pole,former,8
mr. wellesley pole,reports,8
mr. wellesley pole,admiral,7
mr. wellesley pole,commissioners,7
mr. wellesley pole,ordnance,7
mr. wellesley pole,public,7
mr. wellesley pole,received,7
mr. wellesley pole,resolutions,7
mr. horner,law,7
mr. horner,gent,6
mr. horner,court,5
mr. horner,degree,4
mr. horner,ireland,4
mr. horner,required,4
mr. horner,revenue,4
mr. horner,circumstances,3
mr. horner,courts,3
mr. horner,former,3
mr. horner,justly,3
mr. horner,men,3
mr. horner,necessity,3
mr. horner,possible,3
mr. horner,scotland,3
mr. horner,1500,2
mr. horner,account,2
mr. horner,admiralty,2
mr. horner,altogether,2
mr. horner,amounted,2
mr. vansittart,gent,6
mr. vansittart,time,5
mr. vansittart,moved,4
mr. vansittart,company,3
mr. vansittart,country,3
mr. vansittart,fishery,3
mr. vansittart,greenland,3
mr. vansittart,ministers,3
mr. vansittart,observations,3
mr. vansittart,property,3
mr. vansittart,seamen,3
mr. vansittart,tax,3
mr. vansittart,war,3
mr. vansittart,accounts,2
mr. vansittart,alluded,2
mr. vansittart,british,2
mr. vansittart,crown,2
mr. vansittart,different,2
mr. vansittart,difficulty,2
mr. vansittart,employed,2
mr. canning,government,43
mr. canning,force,37
mr. canning,army,32
mr. canning,ireland,30
mr. canning,address,27
mr. canning,country,27
mr. canning,time,24
mr. canning,000,23
mr. canning,duke,22
mr. canning,men,20
mr. canning,ministers,19
mr. canning,night,19
mr. canning,gent,18
mr. canning,parliament,18
mr. canning,inquiry,17
mr. canning,york,16
mr. canning,militia,14
mr. canning,commons,13
mr. canning,duty,13
mr. canning,extent,13
mr. parnell,ireland,95
mr. parnell,tithes,59
mr. parnell,000,50
mr. parnell,people,47
mr. parnell,public,36
mr. parnell,gent,33
mr. parnell,country,30
mr. parnell,system,30
mr. parnell,revenue,23
mr. parnell,plan,21
mr. parnell,bank,19
mr. parnell,time,19
mr. parnell,tithe,19
mr. parnell,year,18
mr. parnell,established,17
mr. parnell,expenditure,17
mr. parnell,commissioners,16
mr. parnell,rate,16
mr. parnell,saving,16
mr. parnell,session,16
mr. speaker,bank,74
mr. speaker,exchange,64
mr. speaker,ireland,64
mr. speaker,evidence,62
mr. speaker,note,57
mr. speaker,year,54
mr. speaker,paper,45
mr. speaker,time,45
mr. speaker,war,44
mr. speaker,england,41
mr. speaker,taxes,38
mr. speaker,account,37
mr. speaker,testimony,34
mr. speaker,currency,33
mr. speaker,millions,33
mr. speaker,money,33
mr. speaker,value,33
mr. speaker,changed,30
mr. speaker,london,30
mr. speaker,charge,29
lord castlereagh,country,227
lord castlereagh,gent,188
lord castlereagh,army,184
lord castlereagh,government,163
lord castlereagh,men,157
lord castlereagh,force,138
lord castlereagh,000,127
lord castlereagh,time,117
lord castlereagh,military,108
lord castlereagh,spain,100
lord castlereagh,ministers,88
lord castlereagh,militia,81
lord castlereagh,parliament,75
lord castlereagh,public,72
lord castlereagh,officers,70
lord castlereagh,british,68
lord castlereagh,conduct,63
lord castlereagh,regular,61
lord castlereagh,war,58
lord castlereagh,ireland,57
mr. ward,000,33
mr. ward,public,27
mr. ward,gent,26
mr. ward,army,24
mr. ward,coat,22
mr. ward,year,21
mr. ward,time,20
mr. ward,charge,19
mr. ward,war,18
mr. ward,accounts,16
mr. ward,office,16
mr. ward,saving,16
mr. ward,clarke,15
mr. ward,conduct,15
mr. ward,evidence,15
mr. ward,night,15
mr. ward,received,15
mr. ward,clothing,14
mr. ward,contract,14
mr. ward,former,14
lord morpeth,evidence,6
lord morpeth,support,3
lord morpeth,testimony,3
lord morpeth,unable,3
lord morpeth,accusation,2
lord morpeth,circumstance,2
lord morpeth,clarke,2
lord morpeth,conduct,2
lord morpeth,considerable,2
lord morpeth,continued,2
lord morpeth,conversation,2
lord morpeth,credit,2
lord morpeth,degree,2
lord morpeth,difference,2
lord morpeth,disapprobation,2
lord morpeth,doubt,2
lord morpeth,duke,2
lord morpeth,fallen,2
lord morpeth,important,2
lord morpeth,moved,2
the speaker,read,23
the speaker,duty,18
the speaker,observed,18
the speaker,gent,17
the speaker,petition,17
the speaker,proceeding,15
the speaker,informed,14
the speaker,speaker,14
the speaker,letter,13
the speaker,baronet,12
the speaker,leave,12
the speaker,lords,12
the speaker,ordered,12
the speaker,received,12
the speaker,usual,12
the speaker,move,11
the speaker,parliament,11
the speaker,time,11
the speaker,bar,10
the speaker,commons,10
earl grey,army,109
earl grey,spain,80
earl grey,ministers,72
earl grey,country,69
earl grey,moore,52
earl grey,john,51
earl grey,000,35
earl grey,french,35
earl grey,information,34
earl grey,men,34
earl grey,people,25
earl grey,british,24
earl grey,letter,24
earl grey,spirit,24
earl grey,government,22
earl grey,officer,22
earl grey,force,21
earl grey,conduct,20
earl grey,portugal,20
earl grey,frere,18
mr. western,foreign,33
mr. western,time,29
mr. western,price,28
mr. western,corn,26
mr. western,grain,21
mr. western,agriculture,20
mr. western,year,18
mr. western,wheat,16
mr. western,country,15
mr. western,market,15
mr. western,barley,14
mr. western,000,12
mr. western,importation,11
mr. western,markets,11
mr. western,supply,11
mr. western,demand,10
mr. western,distilleries,10
mr. western,scarcity,10
mr. western,british,9
mr. western,circumstances,9
mr. leslie foster,discussion,2
mr. leslie foster,altogether,1
mr. leslie foster,attempt,1
mr. leslie foster,candour,1
mr. leslie foster,connected,1
mr. leslie foster,fair,1
mr. leslie foster,grounds,1
mr. leslie foster,indies,1
mr. leslie foster,irish,1
mr. leslie foster,justice,1
mr. leslie foster,meet,1
mr. leslie foster,opposed,1
mr. leslie foster,rather,1
mr. leslie foster,relative,1
mr. leslie foster,rid,1
mr. leslie foster,supported,1
mr. leslie foster,west,1
mr. leslie foster,worthy,1
lord archibald hamilton,evidence,34
lord archibald hamilton,ireland,29
lord archibald hamilton,time,23
lord archibald hamilton,transaction,19
lord archibald hamilton,writership,18
lord archibald hamilton,india,16
lord archibald hamilton,duty,15
lord archibald hamilton,reding,15
lord archibald hamilton,country,14
lord archibald hamilton,gent,14
lord archibald hamilton,patronage,14
lord archibald hamilton,restriction,13
lord archibald hamilton,situation,13
lord archibald hamilton,clancarty,12
lord archibald hamilton,notice,12
lord archibald hamilton,parliament,12
lord archibald hamilton,company,11
lord archibald hamilton,exchange,11
lord archibald hamilton,intention,11
lord archibald hamilton,lord's,11
the lord advocate,scotland,13
the lord advocate,railway,10
the lord advocate,assessor,6
the lord advocate,court,6
the lord advocate,salary,6
the lord advocate,allowance,5
the lord advocate,judges,5
the lord advocate,companies,4
the lord advocate,fixed,4
the lord advocate,party,4
the lord advocate,superannuation,4
the lord advocate,accused,3
the lord advocate,canals,3
the lord advocate,concerned,3
the lord advocate,evidence,3
the lord advocate,king,3
the lord advocate,parish,3
the lord advocate,railways,3
the lord advocate,revenue,3
the lord advocate,session,3
sir francis burdett,gent,94
sir francis burdett,people,94
sir francis burdett,evidence,77
sir francis burdett,time,66
sir francis burdett,constitution,65
sir francis burdett,public,63
sir francis burdett,country,61
sir francis burdett,corruption,60
sir francis burdett,reform,46
sir francis burdett,mind,43
sir francis burdett,honour,36
sir francis burdett,justice,35
sir francis burdett,power,34
sir francis burdett,duty,33
sir francis burdett,system,33
sir francis burdett,testimony,33
sir francis burdett,money,32
sir francis burdett,conduct,30
sir francis burdett,crown,30
sir francis burdett,situation,30
mr. hobhouse,ordered,8
mr. hobhouse,notice,7
mr. hobhouse,corry,6
mr. hobhouse,monday,6
mr. hobhouse,read,6
mr. hobhouse,time,6
mr. hobhouse,ireland,5
mr. hobhouse,move,5
mr. hobhouse,presented,4
mr. hobhouse,appointed,3
mr. hobhouse,propriety,3
mr. hobhouse,resolutions,3
mr. hobhouse,table,3
mr. hobhouse,vansittart,3
mr. hobhouse,year,3
mr. hobhouse,annual,2
mr. hobhouse,bank,2
mr. hobhouse,benefit,2
mr. hobhouse,continuing,2
mr. hobhouse,enable,2
the lord chancellor,country,34
the lord chancellor,time,33
the lord chancellor,circumstances,22
the lord chancellor,parliament,22
the lord chancellor,law,19
the lord chancellor,observed,18
the lord chancellor,bills,17
the lord chancellor,duty,17
the lord chancellor,lords,17
the lord chancellor,occasion,17
the lord chancellor,measures,14
the lord chancellor,necessity,13
the lord chancellor,conduct,12
the lord chancellor,information,12
the lord chancellor,instance,12
the lord chancellor,men,12
the lord chancellor,contended,11
the lord chancellor,opportunity,11
the lord chancellor,public,11
the lord chancellor,woolsack,11
the earl of liverpool,government,68
the earl of liverpool,spain,66
the earl of liverpool,ministers,58
the earl of liverpool,country,55
the earl of liverpool,army,51
the earl of liverpool,time,51
the earl of liverpool,john,41
the earl of liverpool,portugal,38
the earl of liverpool,moore,34
the earl of liverpool,conduct,33
the earl of liverpool,cavalry,32
the earl of liverpool,cause,31
the earl of liverpool,british,28
the earl of liverpool,parliament,25
the earl of liverpool,circumstances,24
the earl of liverpool,french,22
the earl of liverpool,spanish,22
the earl of liverpool,france,21
the earl of liverpool,public,21
the earl of liverpool,000,20
the marquis of titchfield,borough,2
the marquis of titchfield,highly,2
the marquis of titchfield,implicated,2
the marquis of titchfield,letter,2
the marquis of titchfield,mentioned,2
the marquis of titchfield,name,2
the marquis of titchfield,rose,2
the marquis of titchfield,300,1
the marquis of titchfield,50,1
the marquis of titchfield,according,1
the marquis of titchfield,addition,1
the marquis of titchfield,advantageous,1
the marquis of titchfield,alluded,1
the marquis of titchfield,approbation,1
the marquis of titchfield,approved,1
the marquis of titchfield,attempt,1
the marquis of titchfield,authority,1
the marquis of titchfield,baronet,1
the marquis of titchfield,beazley,1
the marquis of titchfield,bribery,1
mr. huskisson,gent,104
mr. huskisson,public,52
mr. huskisson,000,44
mr. huskisson,country,33
mr. huskisson,year,32
mr. huskisson,expence,23
mr. huskisson,revenue,22
mr. huskisson,charge,20
mr. huskisson,saving,20
mr. huskisson,duty,19
mr. huskisson,increase,19
mr. huskisson,government,18
mr. huskisson,taxes,18
mr. huskisson,establishment,17
mr. huskisson,price,17
mr. huskisson,accounts,16
mr. huskisson,plan,16
mr. huskisson,time,16
mr. huskisson,expenditure,14
mr. huskisson,hospital,14
the master of the rolls,spain,46
the master of the rolls,war,35
the master of the rolls,evidence,33
the master of the rolls,treaty,28
the master of the rolls,influence,22
the master of the rolls,circumstances,19
the master of the rolls,neutrality,18
the master of the rolls,time,18
the master of the rolls,gent,17
the master of the rolls,public,17
the master of the rolls,reason,16
the master of the rolls,armaments,15
the master of the rolls,cause,15
the master of the rolls,frere,15
the master of the rolls,spanish,15
the master of the rolls,france,14
the master of the rolls,testimony,14
the master of the rolls,received,13
the master of the rolls,agreement,12
the master of the rolls,allowed,12
the solicitor-general,offence,6
the solicitor-general,punishment,6
the solicitor-general,property,5
the solicitor-general,time,4
the solicitor-general,capital,3
the solicitor-general,court,3
the solicitor-general,individual,3
the solicitor-general,larceny,3
the solicitor-general,transportation,3
the solicitor-general,acquitted,2
the solicitor-general,charge,2
the solicitor-general,committed,2
the solicitor-general,criminals,2
the solicitor-general,description,2
the solicitor-general,disposal,2
the solicitor-general,feloniously,2
the solicitor-general,generally,2
the solicitor-general,judge,2
the solicitor-general,occurred,2
the solicitor-general,perceived,2
lord holland,orders,16
lord holland,ministers,12
lord holland,spain,12
lord holland,country,11
lord holland,government,10
lord holland,necessity,10
lord holland,time,9
lord holland,former,8
lord holland,objections,8
lord holland,alteration,7
lord holland,carried,7
lord holland,considered,7
lord holland,innovation,7
lord holland,law,7
lord holland,policy,7
lord holland,reason,7
lord holland,circumstances,6
lord holland,compromise,6
lord holland,contended,6
lord holland,ireland,6
mr. charles grant,directors,4
mr. charles grant,india,4
mr. charles grant,court,3
mr. charles grant,inquiry,3
mr. charles grant,public,3
mr. charles grant,body,2
mr. charles grant,bonds,2
mr. charles grant,committees,2
mr. charles grant,duty,2
mr. charles grant,expressed,2
mr. charles grant,notwithstanding,2
mr. charles grant,received,2
mr. charles grant,situation,2
mr. charles grant,weeks,2
mr. charles grant,absence,1
mr. charles grant,abuses,1
mr. charles grant,according,1
mr. charles grant,advertisements,1
mr. charles grant,affairs,1
mr. charles grant,affirmative,1
the bishop of exeter,acquiesced,1
the bishop of exeter,banns,1
the bishop of exeter,bills,1
the bishop of exeter,cease,1
the bishop of exeter,chapels,1
the bishop of exeter,churches,1
the bishop of exeter,hoped,1
the bishop of exeter,introduction,1
the bishop of exeter,justness,1
the bishop of exeter,lord's,1
the bishop of exeter,marriages,1
the bishop of exeter,moved,1
the bishop of exeter,observation,1
the bishop of exeter,publication,1
the bishop of exeter,reading,1
the bishop of exeter,rendering,1
the bishop of exeter,solemnized,1
the bishop of exeter,valid,1
sir robert peel,dead,2
sir robert peel,names,2
sir robert peel,petition,2
sir robert peel,signatures,2
sir robert peel,000,1
sir robert peel,1600,1
sir robert peel,47,1
sir robert peel,adverted,1
sir robert peel,annexed,1
sir robert peel,annexing,1
sir robert peel,arise,1
sir robert peel,complaint,1
sir robert peel,contained,1
sir robert peel,countenanced,1
sir robert peel,glad,1
sir robert peel,inconvenience,1
sir robert peel,informed,1
sir robert peel,laid,1
sir robert peel,law,1
sir robert peel,manchester,1
lord stanley,clarke,12
lord stanley,evidence,12
lord stanley,highness,9
lord stanley,influence,9
lord stanley,royal,9
lord stanley,public,8
lord stanley,character,6
lord stanley,duke,6
lord stanley,gent,6
lord stanley,clamour,5
lord stanley,conversation,5
lord stanley,mind,5
