speaker,word,decade,n
lord henry petty,instructions,1800,19
lord henry petty,officer,1800,19
lord henry petty,british,1800,18
lord henry petty,force,1800,18
lord henry petty,parliament,1800,18
lord henry petty,situation,1800,18
mr. francis,war,1800,26
mr. francis,india,1800,24
mr. francis,country,1800,13
mr. francis,defence,1800,13
mr. francis,public,1800,13
mr. francis,evidence,1800,12
mr. francis,parliament,1800,12
mr. francis,power,1800,12
mr. francis,law,1800,11
mr. francis,papers,1800,11
mr. francis,government,1800,10
mr. francis,received,1800,10
mr. francis,time,1800,10
mr. francis,information,1800,9
mr. francis,inquiry,1800,9
mr. francis,company,1800,8
mr. francis,directors,1800,8
mr. francis,force,1800,8
mr. francis,hostilities,1800,8
mr. francis,laid,1800,8
mr. perceral,estimates,1800,4
mr. perceral,extremely,1800,3
mr. perceral,tax,1800,3
mr. perceral,arise,1800,2
mr. perceral,auction,1800,2
mr. perceral,bidder,1800,2
mr. perceral,difficulties,1800,2
mr. perceral,estate,1800,2
mr. perceral,glad,1800,2
mr. perceral,nature,1800,2
mr. perceral,parts,1800,2
mr. perceral,ready,1800,2
mr. perceral,satisfactory,1800,2
mr. perceral,west,1800,2
mr. perceral,acquainted,1800,1
mr. perceral,administration,1800,1
mr. perceral,adopted,1800,1
mr. perceral,afterwards,1800,1
mr. perceral,alluded,1800,1
mr. perceral,appraisement,1800,1
mr. rose,gent,1800,57
mr. rose,country,1800,29
mr. rose,duty,1800,22
mr. rose,crown,1800,20
mr. rose,public,1800,20
mr. rose,000,1800,19
mr. rose,time,1800,18
mr. rose,government,1800,15
mr. rose,palmer,1800,15
mr. rose,provision,1800,14
mr. rose,volunteers,1800,14
mr. rose,parliament,1800,13
mr. rose,alluded,1800,12
mr. rose,college,1800,12
mr. rose,institution,1800,12
mr. rose,corps,1800,11
mr. rose,plan,1800,11
mr. rose,revenue,1800,11
mr. rose,west,1800,11
mr. rose,allowed,1800,10
mr. secretary fox,abuses,1800,5
mr. secretary fox,frauds,1800,4
mr. secretary fox,government,1800,4
mr. secretary fox,inconvenience,1800,4
mr. secretary fox,ways,1800,4
mr. secretary fox,year,1800,4
mr. secretary fox,1,1800,3
mr. secretary fox,administration,1800,3
mr. secretary fox,advance,1800,3
mr. secretary fox,bringing,1800,3
mr. secretary fox,charge,1800,3
mr. secretary fox,end,1800,3
mr. secretary fox,regularly,1800,3
mr. secretary fox,tax,1800,3
mr. secretary fox,army,1800,2
mr. secretary fox,confidence,1800,2
mr. secretary fox,considered,1800,2
mr. secretary fox,doubt,1800,2
mr. secretary fox,estimates,1800,2
mr. secretary fox,exceed,1800,2
mr. a. h. dyke acland,schools,1800,26
mr. a. h. dyke acland,voluntary,1800,16
mr. a. h. dyke acland,school,1800,15
mr. a. h. dyke acland,districts,1800,14
mr. a. h. dyke acland,relief,1800,13
mr. a. h. dyke acland,rate,1800,10
mr. a. h. dyke acland,boards,1800,8
mr. a. h. dyke acland,efficiency,1800,8
mr. a. h. dyke acland,ratepayers,1800,8
mr. a. h. dyke acland,child,1800,7
mr. a. h. dyke acland,education,1800,7
mr. a. h. dyke acland,millions,1800,7
mr. a. h. dyke acland,000,1800,6
mr. a. h. dyke acland,5s,1800,5
mr. a. h. dyke acland,money,1800,5
mr. a. h. dyke acland,people,1800,5
mr. a. h. dyke acland,1s,1800,4
mr. a. h. dyke acland,basis,1800,4
mr. a. h. dyke acland,children,1800,4
mr. a. h. dyke acland,government,1800,4
mr. gerald balfour,jury,1800,6
mr. gerald balfour,land,1800,6
mr. gerald balfour,grand,1800,5
mr. gerald balfour,law,1800,5
mr. gerald balfour,assizes,1800,4
mr. gerald balfour,grant,1800,4
mr. gerald balfour,information,1800,4
mr. gerald balfour,numbers,1800,4
mr. gerald balfour,poor,1800,4
mr. gerald balfour,union,1800,4
mr. gerald balfour,year,1800,4
mr. gerald balfour,1896,1800,3
mr. gerald balfour,commissioners,1800,3
mr. gerald balfour,government,1800,3
mr. gerald balfour,parties,1800,3
mr. gerald balfour,relief,1800,3
mr. gerald balfour,1,1800,2
mr. gerald balfour,amend,1800,2
mr. gerald balfour,application,1800,2
mr. gerald balfour,balfour,1800,2
sir charles dilke,societies,1800,13
sir charles dilke,friendly,1800,12
sir charles dilke,registrar,1800,12
sir charles dilke,section,1800,10
sir charles dilke,fund,1800,8
sir charles dilke,chief,1800,5
sir charles dilke,28,1800,4
sir charles dilke,apply,1800,4
sir charles dilke,law,1800,4
sir charles dilke,provision,1800,4
sir charles dilke,rate,1800,4
sir charles dilke,society,1800,4
sir charles dilke,1896,1800,3
sir charles dilke,2s,1800,3
sir charles dilke,76,1800,3
sir charles dilke,authority,1800,3
sir charles dilke,end,1800,3
sir charles dilke,levied,1800,3
sir charles dilke,school,1800,3
sir charles dilke,sense,1800,3
the first lord of the treasury,cheers,1800,17
the first lord of the treasury,schools,1800,13
the first lord of the treasury,relief,1800,12
the first lord of the treasury,country,1800,10
the first lord of the treasury,government,1800,10
the first lord of the treasury,rates,1800,10
the first lord of the treasury,policy,1800,9
the first lord of the treasury,districts,1800,8
the first lord of the treasury,school,1800,8
the first lord of the treasury,voluntary,1800,8
the first lord of the treasury,year,1800,8
the first lord of the treasury,education,1800,7
the first lord of the treasury,ministerial,1800,7
the first lord of the treasury,opposite,1800,7
the first lord of the treasury,pockets,1800,7
the first lord of the treasury,poor,1800,7
the first lord of the treasury,public,1800,7
the first lord of the treasury,ratepayers,1800,6
the first lord of the treasury,argument,1800,5
the first lord of the treasury,landlords,1800,5
mr. wallace,nabob,1800,72
mr. wallace,british,1800,54
mr. wallace,sultaun,1800,50
mr. wallace,ally,1800,43
mr. wallace,country,1800,43
mr. wallace,power,1800,43
mr. wallace,correspondence,1800,40
mr. wallace,government,1800,40
mr. wallace,rights,1800,39
mr. wallace,letter,1800,38
mr. wallace,ul,1800,36
mr. wallace,tippoo,1800,34
mr. wallace,omdut,1800,32
mr. wallace,omrah,1800,31
mr. wallace,war,1800,31
mr. wallace,carnatic,1800,30
mr. wallace,nabobs,1800,30
mr. wallace,connection,1800,29
mr. wallace,conduct,1800,26
mr. wallace,time,1800,25
the earl of lauderdale,court,1800,85
the earl of lauderdale,law,1800,51
the earl of lauderdale,augmentation,1800,45
the earl of lauderdale,1633,1800,35
the earl of lauderdale,clergy,1800,33
the earl of lauderdale,year,1800,32
the earl of lauderdale,commission,1800,30
the earl of lauderdale,ldps,1800,29
the earl of lauderdale,decision,1800,27
the earl of lauderdale,judgment,1800,26
the earl of lauderdale,session,1800,26
the earl of lauderdale,stipend,1800,26
the earl of lauderdale,time,1800,26
the earl of lauderdale,tithe,1800,25
the earl of lauderdale,parliament,1800,24
the earl of lauderdale,interlocutor,1800,22
the earl of lauderdale,power,1800,21
the earl of lauderdale,parties,1800,20
the earl of lauderdale,purchase,1800,20
the earl of lauderdale,rule,1800,20
mr. barham,price,1800,52
mr. barham,colonies,1800,44
mr. barham,crop,1800,36
mr. barham,sugar,1800,30
mr. barham,corn,1800,28
mr. barham,barley,1800,27
mr. barham,market,1800,25
mr. barham,interest,1800,23
mr. barham,consumption,1800,21
mr. barham,ireland,1800,21
mr. barham,people,1800,21
mr. barham,relief,1800,21
mr. barham,time,1800,21
mr. barham,country,1800,20
mr. barham,land,1800,19
mr. barham,supply,1800,17
mr. barham,gent,1800,15
mr. barham,religion,1800,15
mr. barham,british,1800,14
mr. barham,indeed,1800,14
mr. grattan,catholics,1800,63
mr. grattan,ireland,1800,52
mr. grattan,catholic,1800,48
mr. grattan,country,1800,36
mr. grattan,petition,1800,32
mr. grattan,religion,1800,30
mr. grattan,parliament,1800,29
mr. grattan,america,1800,28
mr. grattan,people,1800,28
mr. grattan,power,1800,28
mr. grattan,subjects,1800,28
mr. grattan,protestant,1800,24
mr. grattan,church,1800,23
mr. grattan,constitution,1800,23
mr. grattan,political,1800,23
mr. grattan,danger,1800,22
mr. grattan,foreign,1800,20
mr. grattan,pope,1800,20
mr. grattan,empire,1800,19
mr. grattan,enemy,1800,19
mr. adam,court,1800,82
mr. adam,law,1800,73
mr. adam,judges,1800,37
mr. adam,judicial,1800,31
mr. adam,scotland,1800,30
mr. adam,jury,1800,28
mr. adam,tribunal,1800,28
mr. adam,country,1800,27
mr. adam,important,1800,23
mr. adam,justice,1800,23
mr. adam,reports,1800,22
mr. adam,session,1800,22
mr. adam,time,1800,22
mr. adam,trial,1800,22
mr. adam,election,1800,21
mr. adam,opinions,1800,21
mr. adam,sheriffs,1800,21
mr. adam,clients,1800,20
mr. adam,introduction,1800,20
mr. adam,system,1800,20
mr. whitbread,gent,1800,388
mr. whitbread,country,1800,232
mr. whitbread,time,1800,210
mr. whitbread,public,1800,202
mr. whitbread,duke,1800,155
mr. whitbread,evidence,1800,150
mr. whitbread,conduct,1800,120
mr. whitbread,government,1800,113
mr. whitbread,york,1800,109
mr. whitbread,men,1800,106
mr. whitbread,office,1800,98
mr. whitbread,ministers,1800,96
mr. whitbread,power,1800,96
mr. whitbread,influence,1800,93
mr. whitbread,witness,1800,93
mr. whitbread,parliament,1800,92
mr. whitbread,people,1800,89
mr. whitbread,taylor,1800,89
mr. whitbread,america,1800,85
mr. whitbread,name,1800,84
mr. croker,duke,1800,95
mr. croker,clarke,1800,57
mr. croker,col,1800,49
mr. croker,evidence,1800,44
mr. croker,gent,1800,41
mr. croker,time,1800,41
mr. croker,address,1800,39
mr. croker,royal,1800,37
mr. croker,indeed,1800,30
mr. croker,name,1800,29
mr. croker,charge,1800,28
mr. croker,influence,1800,28
mr. croker,highness,1800,27
mr. croker,york,1800,27
mr. croker,letters,1800,26
mr. croker,witness,1800,26
mr. croker,clarke's,1800,25
mr. croker,false,1800,25
mr. croker,others,1800,24
mr. croker,circumstances,1800,23
lord grenville,country,1800,193
lord grenville,ministers,1800,103
lord grenville,parliament,1800,81
lord grenville,government,1800,77
lord grenville,ireland,1800,72
lord grenville,america,1800,71
lord grenville,time,1800,71
lord grenville,system,1800,66
lord grenville,army,1800,63
lord grenville,people,1800,60
lord grenville,war,1800,59
lord grenville,public,1800,58
lord grenville,bank,1800,52
lord grenville,paper,1800,51
lord grenville,france,1800,50
lord grenville,men,1800,49
lord grenville,conduct,1800,48
lord grenville,spain,1800,48
lord grenville,british,1800,46
lord grenville,duty,1800,45
lord porchester,time,1800,15
lord porchester,lords,1800,11
lord porchester,public,1800,10
lord porchester,country,1800,9
lord porchester,reform,1800,8
lord porchester,princes,1800,7
lord porchester,conduct,1800,6
lord porchester,ministers,1800,6
lord porchester,period,1800,6
lord porchester,word,1800,6
lord porchester,commons,1800,5
lord porchester,constitution,1800,5
lord porchester,duty,1800,5
lord porchester,leave,1800,5
lord porchester,offices,1800,5
lord porchester,opposition,1800,5
lord porchester,parliament,1800,5
lord porchester,reversion,1800,5
lord porchester,times,1800,5
lord porchester,weeks,1800,5
mr. marryat,country,1800,17
mr. marryat,bowles,1800,15
mr. marryat,west,1800,12
mr. marryat,sugar,1800,11
mr. marryat,india,1800,10
mr. marryat,price,1800,9
mr. marryat,colonies,1800,8
mr. marryat,000,1800,7
mr. marryat,british,1800,7
mr. marryat,government,1800,7
mr. marryat,interests,1800,7
mr. marryat,corn,1800,6
mr. marryat,pamphlets,1800,6
mr. marryat,planters,1800,6
mr. marryat,public,1800,6
mr. marryat,conduct,1800,5
mr. marryat,agriculture,1800,4
mr. marryat,commissioners,1800,4
mr. marryat,hogsheads,1800,4
mr. marryat,islands,1800,4
mr. wellesley pole,gent,1800,22
mr. wellesley pole,admiralty,1800,18
mr. wellesley pole,letter,1800,18
mr. wellesley pole,provisions,1800,15
mr. wellesley pole,dec,1800,13
mr. wellesley pole,office,1800,11
mr. wellesley pole,time,1800,11
mr. wellesley pole,victualling,1800,11
mr. wellesley pole,weather,1800,11
mr. wellesley pole,business,1800,10
mr. wellesley pole,pay,1800,9
mr. wellesley pole,wellesley,1800,9
mr. wellesley pole,former,1800,8
mr. wellesley pole,reports,1800,8
mr. wellesley pole,admiral,1800,7
mr. wellesley pole,commissioners,1800,7
mr. wellesley pole,ordnance,1800,7
mr. wellesley pole,public,1800,7
mr. wellesley pole,received,1800,7
mr. wellesley pole,resolutions,1800,7
mr. horner,law,1800,7
mr. horner,gent,1800,6
mr. horner,court,1800,5
mr. horner,degree,1800,4
mr. horner,ireland,1800,4
mr. horner,required,1800,4
mr. horner,revenue,1800,4
mr. horner,circumstances,1800,3
mr. horner,courts,1800,3
mr. horner,former,1800,3
mr. horner,justly,1800,3
mr. horner,men,1800,3
mr. horner,necessity,1800,3
mr. horner,possible,1800,3
mr. horner,scotland,1800,3
mr. horner,1500,1800,2
mr. horner,account,1800,2
mr. horner,admiralty,1800,2
mr. horner,altogether,1800,2
mr. horner,amounted,1800,2
mr. vansittart,gent,1800,6
mr. vansittart,time,1800,5
mr. vansittart,moved,1800,4
mr. vansittart,company,1800,3
mr. vansittart,country,1800,3
mr. vansittart,fishery,1800,3
mr. vansittart,greenland,1800,3
mr. vansittart,ministers,1800,3
mr. vansittart,observations,1800,3
mr. vansittart,property,1800,3
mr. vansittart,seamen,1800,3
mr. vansittart,tax,1800,3
mr. vansittart,war,1800,3
mr. vansittart,accounts,1800,2
mr. vansittart,alluded,1800,2
mr. vansittart,british,1800,2
mr. vansittart,crown,1800,2
mr. vansittart,different,1800,2
mr. vansittart,difficulty,1800,2
mr. vansittart,employed,1800,2
mr. canning,government,1800,43
mr. canning,force,1800,37
mr. canning,army,1800,32
mr. canning,ireland,1800,30
mr. canning,address,1800,27
mr. canning,country,1800,27
mr. canning,time,1800,24
mr. canning,000,1800,23
mr. canning,duke,1800,22
mr. canning,men,1800,20
mr. canning,ministers,1800,19
mr. canning,night,1800,19
mr. canning,gent,1800,18
mr. canning,parliament,1800,18
mr. canning,inquiry,1800,17
mr. canning,york,1800,16
mr. canning,militia,1800,14
mr. canning,commons,1800,13
mr. canning,duty,1800,13
mr. canning,extent,1800,13
mr. parnell,ireland,1800,95
mr. parnell,tithes,1800,59
mr. parnell,000,1800,50
mr. parnell,people,1800,47
mr. parnell,public,1800,36
mr. parnell,gent,1800,33
mr. parnell,country,1800,30
mr. parnell,system,1800,30
mr. parnell,revenue,1800,23
mr. parnell,plan,1800,21
mr. parnell,bank,1800,19
mr. parnell,time,1800,19
mr. parnell,tithe,1800,19
mr. parnell,year,1800,18
mr. parnell,established,1800,17
mr. parnell,expenditure,1800,17
mr. parnell,commissioners,1800,16
mr. parnell,rate,1800,16
mr. parnell,saving,1800,16
mr. parnell,session,1800,16
mr. speaker,bank,1800,74
mr. speaker,exchange,1800,64
mr. speaker,ireland,1800,64
mr. speaker,evidence,1800,62
mr. speaker,note,1800,57
mr. speaker,year,1800,54
mr. speaker,paper,1800,45
mr. speaker,time,1800,45
mr. speaker,war,1800,44
mr. speaker,england,1800,41
mr. speaker,taxes,1800,38
mr. speaker,account,1800,37
mr. speaker,testimony,1800,34
mr. speaker,currency,1800,33
mr. speaker,millions,1800,33
mr. speaker,money,1800,33
mr. speaker,value,1800,33
mr. speaker,changed,1800,30
mr. speaker,london,1800,30
mr. speaker,charge,1800,29
lord castlereagh,country,1800,227
lord castlereagh,gent,1800,188
lord castlereagh,army,1800,184
lord castlereagh,government,1800,163
lord castlereagh,men,1800,157
lord castlereagh,force,1800,138
lord castlereagh,000,1800,127
lord castlereagh,time,1800,117
lord castlereagh,military,1800,108
lord castlereagh,spain,1800,100
lord castlereagh,ministers,1800,88
lord castlereagh,militia,1800,81
lord castlereagh,parliament,1800,75
lord castlereagh,public,1800,72
lord castlereagh,officers,1800,70
lord castlereagh,british,1800,68
lord castlereagh,conduct,1800,63
lord castlereagh,regular,1800,61
lord castlereagh,war,1800,58
lord castlereagh,ireland,1800,57
mr. ward,000,1800,33
mr. ward,public,1800,27
mr. ward,gent,1800,26
mr. ward,army,1800,24
mr. ward,coat,1800,22
mr. ward,year,1800,21
mr. ward,time,1800,20
mr. ward,charge,1800,19
mr. ward,war,1800,18
mr. ward,accounts,1800,16
mr. ward,office,1800,16
mr. ward,saving,1800,16
mr. ward,clarke,1800,15
mr. ward,conduct,1800,15
mr. ward,evidence,1800,15
mr. ward,night,1800,15
mr. ward,received,1800,15
mr. ward,clothing,1800,14
mr. ward,contract,1800,14
mr. ward,former,1800,14
lord morpeth,evidence,1800,6
lord morpeth,support,1800,3
lord morpeth,testimony,1800,3
lord morpeth,unable,1800,3
lord morpeth,accusation,1800,2
lord morpeth,circumstance,1800,2
lord morpeth,clarke,1800,2
lord morpeth,conduct,1800,2
lord morpeth,considerable,1800,2
lord morpeth,continued,1800,2
lord morpeth,conversation,1800,2
lord morpeth,credit,1800,2
lord morpeth,degree,1800,2
lord morpeth,difference,1800,2
lord morpeth,disapprobation,1800,2
lord morpeth,doubt,1800,2
lord morpeth,duke,1800,2
lord morpeth,fallen,1800,2
lord morpeth,important,1800,2
lord morpeth,moved,1800,2
the speaker,read,1800,23
the speaker,duty,1800,18
the speaker,observed,1800,18
the speaker,gent,1800,17
the speaker,petition,1800,17
the speaker,proceeding,1800,15
the speaker,informed,1800,14
the speaker,speaker,1800,14
the speaker,letter,1800,13
the speaker,baronet,1800,12
the speaker,leave,1800,12
the speaker,lords,1800,12
the speaker,ordered,1800,12
the speaker,received,1800,12
the speaker,usual,1800,12
the speaker,move,1800,11
the speaker,parliament,1800,11
the speaker,time,1800,11
the speaker,bar,1800,10
the speaker,commons,1800,10
earl grey,army,1800,109
earl grey,spain,1800,80
earl grey,ministers,1800,72
earl grey,country,1800,69
earl grey,moore,1800,52
earl grey,john,1800,51
earl grey,000,1800,35
earl grey,french,1800,35
earl grey,information,1800,34
earl grey,men,1800,34
earl grey,people,1800,25
earl grey,british,1800,24
earl grey,letter,1800,24
earl grey,spirit,1800,24
earl grey,government,1800,22
earl grey,officer,1800,22
earl grey,force,1800,21
earl grey,conduct,1800,20
earl grey,portugal,1800,20
earl grey,frere,1800,18
mr. western,foreign,1800,33
mr. western,time,1800,29
mr. western,price,1800,28
mr. western,corn,1800,26
mr. western,grain,1800,21
mr. western,agriculture,1800,20
mr. western,year,1800,18
mr. western,wheat,1800,16
mr. western,country,1800,15
mr. western,market,1800,15
mr. western,barley,1800,14
mr. western,000,1800,12
mr. western,importation,1800,11
mr. western,markets,1800,11
mr. western,supply,1800,11
mr. western,demand,1800,10
mr. western,distilleries,1800,10
mr. western,scarcity,1800,10
mr. western,british,1800,9
mr. western,circumstances,1800,9
mr. leslie foster,discussion,1800,2
mr. leslie foster,altogether,1800,1
mr. leslie foster,attempt,1800,1
mr. leslie foster,candour,1800,1
mr. leslie foster,connected,1800,1
mr. leslie foster,fair,1800,1
mr. leslie foster,grounds,1800,1
mr. leslie foster,indies,1800,1
mr. leslie foster,irish,1800,1
mr. leslie foster,justice,1800,1
mr. leslie foster,meet,1800,1
mr. leslie foster,opposed,1800,1
mr. leslie foster,rather,1800,1
mr. leslie foster,relative,1800,1
mr. leslie foster,rid,1800,1
mr. leslie foster,supported,1800,1
mr. leslie foster,west,1800,1
mr. leslie foster,worthy,1800,1
lord archibald hamilton,evidence,1800,34
lord archibald hamilton,ireland,1800,29
lord archibald hamilton,time,1800,23
lord archibald hamilton,transaction,1800,19
lord archibald hamilton,writership,1800,18
lord archibald hamilton,india,1800,16
lord archibald hamilton,duty,1800,15
lord archibald hamilton,reding,1800,15
lord archibald hamilton,country,1800,14
lord archibald hamilton,gent,1800,14
lord archibald hamilton,patronage,1800,14
lord archibald hamilton,restriction,1800,13
lord archibald hamilton,situation,1800,13
lord archibald hamilton,clancarty,1800,12
lord archibald hamilton,notice,1800,12
lord archibald hamilton,parliament,1800,12
lord archibald hamilton,company,1800,11
lord archibald hamilton,exchange,1800,11
lord archibald hamilton,intention,1800,11
lord archibald hamilton,lord's,1800,11
the lord advocate,scotland,1800,13
the lord advocate,railway,1800,10
the lord advocate,assessor,1800,6
the lord advocate,court,1800,6
the lord advocate,salary,1800,6
the lord advocate,allowance,1800,5
the lord advocate,judges,1800,5
the lord advocate,companies,1800,4
the lord advocate,fixed,1800,4
the lord advocate,party,1800,4
the lord advocate,superannuation,1800,4
the lord advocate,accused,1800,3
the lord advocate,canals,1800,3
the lord advocate,concerned,1800,3
the lord advocate,evidence,1800,3
the lord advocate,king,1800,3
the lord advocate,parish,1800,3
the lord advocate,railways,1800,3
the lord advocate,revenue,1800,3
the lord advocate,session,1800,3
sir francis burdett,gent,1800,94
sir francis burdett,people,1800,94
sir francis burdett,evidence,1800,77
sir francis burdett,time,1800,66
sir francis burdett,constitution,1800,65
sir francis burdett,public,1800,63
sir francis burdett,country,1800,61
sir francis burdett,corruption,1800,60
sir francis burdett,reform,1800,46
sir francis burdett,mind,1800,43
sir francis burdett,honour,1800,36
sir francis burdett,justice,1800,35
sir francis burdett,power,1800,34
sir francis burdett,duty,1800,33
sir francis burdett,system,1800,33
sir francis burdett,testimony,1800,33
sir francis burdett,money,1800,32
sir francis burdett,conduct,1800,30
sir francis burdett,crown,1800,30
sir francis burdett,situation,1800,30
mr. hobhouse,ordered,1800,8
mr. hobhouse,notice,1800,7
mr. hobhouse,corry,1800,6
mr. hobhouse,monday,1800,6
mr. hobhouse,read,1800,6
mr. hobhouse,time,1800,6
mr. hobhouse,ireland,1800,5
mr. hobhouse,move,1800,5
mr. hobhouse,presented,1800,4
mr. hobhouse,appointed,1800,3
mr. hobhouse,propriety,1800,3
mr. hobhouse,resolutions,1800,3
mr. hobhouse,table,1800,3
mr. hobhouse,vansittart,1800,3
mr. hobhouse,year,1800,3
mr. hobhouse,annual,1800,2
mr. hobhouse,bank,1800,2
mr. hobhouse,benefit,1800,2
mr. hobhouse,continuing,1800,2
mr. hobhouse,enable,1800,2
the lord chancellor,country,1800,34
the lord chancellor,time,1800,33
the lord chancellor,circumstances,1800,22
