speechdate,debate_id,debate,words_per_debate,year,decade,decade_ranking,year_ranking
1866-04-16,37175,SECOND READING. DEBATE RESUMED. THIRD NIGHT.,54995,1866,1860,4,2
1866-04-27,37283,ADJOURNED DEBATE. EIGHTH NIGHT.,63711,1866,1860,1,1
1868-06-29,39567,DEBATE RESUMED. [THIRD NIGHT].,54858,1868,1860,5,1
1869-06-18,40672,DEBATE RESUMED. [FOURTH NIGHT. ],59161,1869,1860,3,1
1873-03-06,45319,[SECOND NIGHT. ],46552,1873,1870,3,2
1873-03-11,45337,SECOND READING. ADJOURNED DEBATE.,49458,1873,1870,1,1
1878-12-10,53515,AFGHANISTAN (EXPENSES OF MILITARY OPERATIONS). —RESOLUTION.,46358,1878,1870,4,1
1879-03-04,53902,RESOLUTIONS.,46304,1879,1870,5,2
1879-03-11,53967,RESOLUTION.,48163,1879,1870,2,1
1880-08-26,56599,CLASS III. —LAW AND JUSTICE.,89802,1880,1880,1,1
1886-09-14,72138,CLASS II. —SALARIES AND EXPENSES OF CIVIL DEPARTMENTS.,58366,1886,1880,4,1
1887-03-21,73819,SUPPLY-NAVY ESTIMATES.,63914,1887,1880,2,1
1887-08-22,76830,CLASS III. —LAW AND JUSTICE.,58122,1887,1880,5,3
1887-08-30,77066,SUPPLY—CIVIL SERVICE ESTIMATES.,61181,1887,1880,3,2
1890-03-21,87183,IRELAND—SPECIAL COMMISSION (1888) REPORT.,57443,1890,1890,1,1
1898-04-29,114468,CLASS II.,46699,1898,1890,5,4
1898-07-04,115075,TAXATION (IRELAND).,47825,1898,1890,4,3
1898-07-05,115106,TAXATION (IRELAND).,49426,1898,1890,3,2
1898-08-02,115741,CIVIL SERVICE ESTIMATES.,53888,1898,1890,2,1
1909-06-28,163753,PART I. —DUTIES ON LAND VALUES.,57855,1909,1900,3,3
1909-07-07,164212,CLAUSE 2. —(Definition of Increment Value. ),56986,1909,1900,4,4
1909-07-14,164492,CLAUSE 4. —(Collection and recovery of duty in case of transfers and leases. ),61806,1909,1900,2,2
1909-08-09,165413,CLAUSE 10. —(Duty on Site Value of Undeveloped Land. ),69127,1909,1900,1,1
1909-11-03,167657,FINANCE BILL.,54830,1909,1900,5,5
1910-02-22,168264,DEBATE ON THE ADDRESS.,51636,1910,1910,4,4
1910-03-29,169785,DURATION OF PARLIAMENT.,51802,1910,1910,2,2
1910-04-04,169993,DURATION OF PARLIAMENT.,53260,1910,1910,1,1
1910-04-05,170075,GOVERNMENT RESOLUTIONS—ALLOCATION OF TIME.,51790,1910,1910,3,3
1910-07-12,172193,PARLIAMENTARY FRANCHISE (WOMEN) BILL.,51294,1910,1910,5,5
