n,sentiment,decade,grammatical_collocates
1,Positive,1810,good lands
1,Positive,1810,charitable property
1,Positive,1810,solid land
1,Positive,1810,large inclosures
1,Positive,1810,large rents
1,Positive,1810,greater property
1,Positive,1810,freehold tenements
6,Positive,1820,certain lands
2,Positive,1820,very property
5,Positive,1820,new property
1,Positive,1820,valuable chattels
2,Positive,1820,own splendor
1,Positive,1810,exclusive property
1,Positive,1810,real splendor
2,Positive,1810,particular property
1,Positive,1820,commercial splendor
1,Positive,1810,own villanies
10,Positive,1820,freehold property
2,Positive,1820,ancient splendor
1,Positive,1810,greater splendor
1,Positive,1810,particular lands
3,Positive,1820,higher rents
43,Positive,1820,whole property
7,Positive,1820,much land
2,Positive,1820,new land
1,Positive,1820,more lands
1,Positive,1810,important landmarks
1,Positive,1810,promised land
1,Positive,1810,many landowners
1,Positive,1810,great fiefs
2,Positive,1810,old lease
1,Positive,1810,original tenants
1,Positive,1810,best property
3,Positive,1800,own tenantry
1,Positive,1800,vested property
1,Positive,1800,fertile lands
1,Positive,1810,good landlords
1,Positive,1800,high rents
1,Positive,1800,greater property
1,Positive,1800,fixed rent
1,Positive,1800,own rents
13,Positive,1820,much property
1,Positive,1820,becoming splendor
4,Positive,1820,due splendor
1,Positive,1820,ostentatious splendor
3,Positive,1820,proper splendor
2,Positive,1820,monarchical splendor
4,Positive,1820,absolute property
88,Positive,1820,real property
43,Positive,1820,own property
1,Positive,1820,gaudy splendor
10,Positive,1820,considerable property
4,Positive,1820,good lands
3,Positive,1820,much rent
1,Positive,1820,hardy tenantry
2,Positive,1820,fertile land
4,Positive,1820,whole land
33,Positive,1820,large property
1,Positive,1820,available property
1,Positive,1820,own allotment
33,Positive,1820,high rents
4,Positive,1820,whole rent
1,Positive,1820,free vassals
3,Positive,1820,general property
8,Positive,1820,own lands
7,Positive,1820,certain property
1,Positive,1820,substantial property
3,Positive,1820,happy land
3,Positive,1820,rich lands
4,Positive,1820,old lands
5,Positive,1820,fertile lands
1,Positive,1820,old rent
1,Positive,1820,enlightened land
2,Positive,1820,beneficial lease
2,Positive,1820,freehold tenants
14,Positive,1820,great property
3,Positive,1820,own tenants
1,Positive,1820,many tenants
2,Positive,1820,new tenant
4,Positive,1820,free land
4,Positive,1820,legal property
2,Positive,1820,adequate rent
1,Positive,1820,many landholders
1,Positive,1820,certain splendor
12,Positive,1820,good land
1,Positive,1820,great rent
4,Positive,1820,more property
3,Positive,1820,greatest property
1,Positive,1820,lucrative property
2,Positive,1820,best lands
1,Positive,1820,large rent
2,Positive,1820,better land
2,Positive,1820,necessary splendor
3,Positive,1820,rich land
1,Positive,1820,healthy tenantry
1,Positive,1820,contented tenantry
1,Positive,1820,own landlord
24,Positive,1820,own land
1,Positive,1820,new enclosures
2,Positive,1820,whole tenantry
1,Positive,1820,familiar land
3,Positive,1820,richer lands
1,Positive,1820,dear land
1,Positive,1820,smiling land
1,Positive,1820,better landlords
1,Positive,1820,main land
3,Positive,1820,great landholders
2,Positive,1820,whole rents
1,Positive,1820,steady splendor
1,Positive,1820,fictitious splendor
1,Positive,1820,better lands
1,Positive,1820,devoted property
1,Positive,1820,light land
1,Positive,1820,large tenements
1,Positive,1820,certain rent
2,Positive,1820,worth property
1,Positive,1820,beneficial lessee
1,Positive,1820,distinguished eminenee
1,Positive,1820,respected property
6,Positive,1820,high rent
1,Positive,1820,respective allotments
2,Positive,1820,cleared lands
1,Positive,1820,cleared land
1,Positive,1820,acute franklin
1,Positive,1820,profitable land
2,Positive,1820,solid property
8,Positive,1820,whole rental
2,Positive,1820,freehold lands
1,Positive,1820,good landlord
1,Positive,1820,natural tenantry
1,Positive,1820,original tenants
1,Positive,1820,old leases
1,Positive,1820,more land
1,Positive,1820,good landholder
1,Positive,1820,old landlord
3,Positive,1820,valuable property
3,Positive,1820,best land
3,Positive,1820,capable land
2,Positive,1820,fair rent
2,Positive,1820,higher rent
2,Positive,1820,decent splendor
2,Positive,1820,old rents
1,Positive,1820,handsome property
5,Positive,1820,literary property
1,Positive,1820,many eminent
1,Positive,1820,good landlords
1,Positive,1820,exclusive property
1,Positive,1820,loyal tenantry
1,Positive,1820,great franklin
2,Positive,1820,rich landlord
1,Positive,1820,certain land
2,Positive,1820,new leases
1,Positive,1820,improved land
1,Positive,1820,beneficial property
1,Positive,1820,indispensable property
1,Positive,1820,present splendor
1,Positive,1820,rich landlords
1,Positive,1820,adequate property
1,Positive,1820,good property
1,Positive,1820,finest land
1,Positive,1820,fixed rent
1,Positive,1820,original rents
3,Positive,1820,many landlords
1,Positive,1820,respectable tenantry
1,Positive,1820,most eminent
2,Positive,1820,best landlords
1,Positive,1820,pure absenteeship
1,Positive,1820,aristocratical splendor
1,Positive,1820,free property
1,Positive,1820,proud eminency
1,Positive,1820,good rents
1,Positive,1820,lucky landlords
2,Positive,1820,more splendor
1,Positive,1820,bare allotment
1,Positive,1820,new lease
1,Positive,1820,better rent
280,Positive,1830,real property
111,Positive,1830,whole property
2,Positive,1820,great landholder
2,Positive,1820,great landowners
1,Positive,1820,great landowner
1,Positive,1820,whole lands
1,Positive,1830,distinct tenement
8,Positive,1830,higher rents
27,Positive,1830,higher rent
1,Positive,1820,high landlords
19,Positive,1830,own land
2,Positive,1820,unnecessary splendor
1,Positive,1820,such splendor
56,Positive,1830,high rents
9,Positive,1830,general property
1,Positive,1830,substantial tenant
1,Positive,1830,interested landlords
6,Positive,1830,happy land
2,Positive,1830,improved rents
1,Positive,1820,devoted land
12,Positive,1830,many tenants
27,Positive,1830,great property
124,Positive,1830,large property
9,Positive,1830,great landholders
1,Positive,1820,considerable landowners
1,Positive,1820,desirable tenants
20,Positive,1830,more land
129,Positive,1830,own property
2,Positive,1830,many landowners
5,Positive,1830,own rents
17,Positive,1830,whole rental
14,Positive,1830,own tenants
2,Positive,1830,certain leaseholders
1,Positive,1830,beneficial leaseholds
7,Positive,1830,beneficial leases
1,Positive,1830,advanced rent
18,Positive,1830,many landlords
4,Positive,1830,best land
1,Positive,1820,general enclosure
3,Positive,1830,great rents
1,Positive,1820,certain enclosures
1,Positive,1820,fresh lands
61,Positive,1830,considerable property
2,Positive,1830,first lease
2,Positive,1830,full rents
1,Positive,1830,ready tenants
5,Positive,1830,very property
1,Positive,1830,freehold tenement
1,Positive,1830,unnecessary splendor
1,Positive,1820,honest landowners
1,Positive,1820,legal tenant
1,Positive,1830,fair rental
2,Positive,1830,great lessees
2,Positive,1830,kind landlord
3,Positive,1830,many tenements
1,Positive,1830,beneficial lessee
6,Positive,1830,good tenant
3,Positive,1830,old lease
3,Positive,1830,greatest property
13,Positive,1830,more property
1,Positive,1830,fit lands
1,Positive,1820,superior landlords
7,Positive,1830,absolute property
3,Positive,1830,favoured land
1,Positive,1820,own rents
5,Positive,1830,whole rent
5,Positive,1830,rich lands
10,Positive,1830,fertile land
21,Positive,1830,good land
4,Positive,1830,promised land
3,Positive,1830,certain landowners
5,Positive,1830,beneficial lease
13,Positive,1830,whole land
1,Positive,1830,evident absenteeism
1,Positive,1820,beneficial leases
3,Positive,1820,first tenant
1,Positive,1820,capable lands
1,Positive,1820,honest tenant
40,Positive,1830,much property
3,Positive,1830,many rents
1,Positive,1820,great landlords
1,Positive,1820,wealthy landowner
21,Positive,1830,valuable property
7,Positive,1830,many lands
1,Positive,1820,charitable property
1,Positive,1820,full land
1,Positive,1830,prosperous land
1,Positive,1820,richest lands
2,Positive,1830,rightful property
1,Positive,1830,granting leases
2,Positive,1830,personal splendor
1,Positive,1820,celebrated franklin
4,Positive,1830,proper splendor
9,Positive,1830,new lease
25,Positive,1830,certain property
15,Positive,1830,high rent
2,Positive,1830,fine land
1,Positive,1830,profitable lease
3,Positive,1830,finest land
2,Positive,1830,old rents
1,Positive,1830,old rental
60,Positive,1830,freehold property
1,Positive,1830,adequate rent
3,Positive,1830,genuine property
1,Positive,1830,original splendor
1,Positive,1830,fair allotment
2,Positive,1830,ancient splendor
4,Positive,1830,own rent
3,Positive,1830,own landlord
2,Positive,1830,superior tenant
4,Positive,1830,new tenants
2,Positive,1830,superior landlord
1,Positive,1830,powerful landlord
1,Positive,1830,greatest landlords
10,Positive,1830,certain rent
1,Positive,1830,smiling land
2,Positive,1830,great landmarks
2,Positive,1830,excellent landlords
5,Positive,1830,excellent landlord
1,Positive,1830,large rental
2,Positive,1830,many leases
1,Positive,1830,rich absentee
14,Positive,1830,increased rent
3,Positive,1830,best lands
4,Positive,1830,valuable land
2,Positive,1830,worthy splendor
9,Positive,1830,rich land
1,Positive,1830,noble eminent
23,Positive,1830,certain lands
3,Positive,1830,full rent
3,Positive,1830,large rents
2,Positive,1830,own landlords
9,Positive,1830,original lease
2,Positive,1830,original lessees
10,Positive,1830,original lessee
4,Positive,1830,worth land
1,Positive,1830,successive leases
4,Positive,1830,large landowners
17,Positive,1830,great landowners
8,Positive,1830,more rent
2,Positive,1830,first lessee
1,Positive,1830,first leaseholder
1,Positive,1830,better lands
4,Positive,1830,whole allotment
2,Positive,1830,full property
2,Positive,1830,free tenants
1,Positive,1830,substantial renter
1,Positive,1830,honest tenant
3,Positive,1830,respectable tenants
2,Positive,1830,decent splendor
3,Positive,1830,most property
3,Positive,1830,respectable landlords
10,Positive,1830,new leases
1,Positive,1830,military splendor
8,Positive,1830,particular property
4,Positive,1830,large rent
1,Positive,1830,real rent
1,Positive,1830,fitting splendor
1,Positive,1830,superior property
2,Positive,1830,beautiful land
4,Positive,1830,respectable tenant
1,Positive,1830,large landholder
3,Positive,1830,certain landholders
17,Positive,1830,much land
4,Positive,1830,new land
5,Positive,1830,own lands
10,Positive,1830,fixed rent
13,Positive,1830,free land
1,Positive,1830,great tenements
1,Positive,1830,direct property
2,Positive,1830,greater property
2,Positive,1830,many landholders
3,Positive,1830,large landholders
4,Positive,1830,freehold leases
2,Positive,1830,freehold lease
1,Positive,1820,cheap land
1,Positive,1820,wild land
1,Positive,1830,right tenant
2,Positive,1830,vested property
2,Positive,1830,determinable lease
2,Positive,1830,beneficial property
1,Positive,1830,friendly land
3,Positive,1830,particular lands
7,Positive,1830,freehold lands
1,Positive,1830,right lands
1,Positive,1830,able property
2,Positive,1830,improving tenant
2,Positive,1830,great landholder
4,Positive,1830,old leases
1,Positive,1830,large leaseholders
1,Positive,1830,full rental
1,Positive,1830,considerable rents
3,Positive,1830,good property
1,Positive,1830,precise rental
3,Positive,1830,particular landlords
5,Positive,1830,benevolent landlord
5,Positive,1830,legal property
2,Positive,1830,wealthy landowners
3,Positive,1830,new lands
2,Positive,1830,superior tenants
2,Positive,1830,original leaseholder
2,Positive,1830,particular leases
1,Positive,1830,original leaseholders
2,Positive,1830,valuable lease
4,Positive,1830,good tenants
1,Positive,1830,respected leases
1,Positive,1830,whole tenantry
2,Positive,1830,responsible tenant
1,Positive,1830,large landlords
13,Positive,1830,valued rent
1,Positive,1830,decent landmarks
1,Positive,1830,respectable landmarks
1,Positive,1830,higher rental
1,Positive,1830,general landowners
1,Positive,1830,real landholders
5,Positive,1830,worth property
2,Positive,1830,finest lands
1,Positive,1830,surely property
1,Positive,1830,most landholders
1,Positive,1830,general inclosure
1,Positive,1830,general allotment
5,Positive,1830,available property
4,Positive,1830,richest land
14,Positive,1830,good landlord
1,Positive,1830,wealthy landlords
1,Positive,1820,complete depopulation
1,Positive,1830,new landholders
1,Positive,1830,new allotment
1,Positive,1820,favoured land
2,Positive,1830,original rent
1,Positive,1830,noble demesnes
1,Positive,1830,worth occupancy
1,Positive,1830,rich landowners
3,Positive,1830,richer lands
1,Positive,1830,solid rent
1,Positive,1830,powerful vassals
2,Positive,1830,greater rent
3,Positive,1830,able land
4,Positive,1830,fair rent
3,Positive,1830,old tenant
1,Positive,1830,own tenement
1,Positive,1830,specious splendor
1,Positive,1830,high property
2,Positive,1830,most eminent
1,Positive,1830,surviving leases
1,Positive,1830,more landlord
4,Positive,1830,much rent
3,Positive,1830,best property
1,Positive,1830,powerful vassal
1,Positive,1830,freehold tenants
1,Positive,1830,beloved land
2,Positive,1830,clear property
1,Positive,1830,respected land
1,Positive,1830,respective property
1,Positive,1830,worth lands
1,Positive,1830,happier land
1,Positive,1830,proud eminency
1,Positive,1830,attendant tenant
1,Positive,1830,benevolent landlords
2,Positive,1830,humane landlord
1,Positive,1830,free tenant
1,Positive,1830,growing absenteeism
1,Positive,1830,free property
1,Positive,1830,safe rental
3,Positive,1830,great lands
1,Positive,1830,large allotments
2,Positive,1830,new enclosures
15,Positive,1830,literary property
1,Positive,1830,intellectual property
1,Positive,1830,more rents
1,Positive,1830,responsible tenements
1,Positive,1830,unpaid rents
1,Positive,1830,better tenants
1,Positive,1830,great franklin
2,Positive,1830,fertile lands
1,Positive,1830,civilized land
3,Positive,1830,fair land
1,Positive,1830,old landlord
1,Positive,1830,rich landholders
1,Positive,1830,straight leases
1,Positive,1830,original landlord
1,Positive,1830,general rental
32,Positive,1830,fixed property
2,Positive,1830,most tenants
1,Positive,1830,new landlord
3,Positive,1830,exclusive property
5,Positive,1830,rich landlord
1,Positive,1830,willing tenantry
1,Positive,1830,big property
1,Positive,1830,complete leases
1,Positive,1830,beneficial rent
6,Positive,1830,broad lands
3,Positive,1830,improved property
1,Positive,1830,worthy landlord
1,Positive,1830,oriental splendor
1,Positive,1830,celebrated franklin
1,Positive,1830,enterprising tenant
2,Positive,1830,right tenants
1,Positive,1830,growing lands
5,Positive,1830,high lands
2,Positive,1830,best tenants
1,Positive,1830,beauteous land
1,Positive,1830,respectable landowners
1,Positive,1830,distinct property
1,Positive,1830,better rents
6,Positive,1830,good landlords
2,Positive,1830,whole rents
1,Positive,1830,more leases
2,Positive,1830,affluent landholder
1,Positive,1830,fortunate landlord
6,Positive,1830,better landlord
2,Positive,1830,generous landlord
1,Positive,1830,fair landlord
1,Positive,1830,good tenement
1,Positive,1830,valued rents
1,Positive,1830,sufficient splendor
1,Positive,1830,free socage
1,Positive,1830,wealthy zemindars
1,Positive,1830,augmented splendor
1,Positive,1830,wealthy tenants
1,Positive,1830,richer tenant
4,Positive,1830,own tenantry
1,Positive,1830,more absenteeism
2,Positive,1830,great landowner
1,Positive,1830,freer property
1,Positive,1830,own spleen
1,Positive,1830,increased absenteeism
1,Positive,1830,appropriate property
1,Positive,1830,chief landmark
1,Positive,1830,direct tenant
1,Positive,1830,old land
1,Positive,1830,honestly property
4,Positive,1830,great landlord
8,Positive,1830,freehold land
1,Positive,1830,very lands
2,Positive,1830,important property
1,Positive,1830,older property
2,Positive,1830,profitable land
2,Positive,1830,old rent
1,Positive,1830,wealthy landlord
2,Positive,1830,increased rental
2,Positive,1830,increased rents
3,Positive,1830,light lands
5,Positive,1830,light land
2,Positive,1830,excellent land
1,Positive,1830,general landmarks
5,Positive,1830,wild lands
2,Positive,1830,respective tenants
1,Positive,1830,fresh land
4,Positive,1830,certain landlords
1,Positive,1830,noble lessee
3,Positive,1830,great landlords
1,Positive,1830,new enclosure
1,Positive,1830,valuable inclosure
1,Positive,1830,improving property
2,Positive,1830,free lands
2,Positive,1830,improved rental
1,Positive,1830,clear rent
5,Positive,1830,certain tenants
1,Positive,1830,improved rent
1,Positive,1830,many property
4,Positive,1830,old tenants
1,Positive,1830,respectable landholders
2,Positive,1830,substantial tenants
3,Positive,1830,devoted land
1,Positive,1830,noble landowner
2,Positive,1830,exciting feuds
1,Positive,1830,richest landowner
4,Positive,1830,best landlords
1,Positive,1830,exact rents
1,Positive,1830,better land
1,Positive,1830,many eminent
2,Positive,1830,particular land
2,Positive,1830,high land
1,Positive,1830,old inclosures
1,Positive,1830,old inclosure
1,Positive,1830,certain tenements
1,Positive,1830,improving landlord
13,Positive,1830,charitable property
1,Positive,1830,richer landowners
1,Positive,1830,considerable rent
1,Positive,1830,original tenant
1,Positive,1830,compelling landlords
1,Positive,1830,large tenant
1,Positive,1830,honourable property
1,Positive,1830,complete rent
1,Positive,1830,determinable leases
1,Positive,1830,valuable lands
4,Positive,1830,wild land
1,Positive,1830,attendant property
1,Positive,1830,old property
1,Positive,1830,free rents
1,Positive,1830,first property
1,Positive,1830,safer property
1,Positive,1830,fair lease
1,Positive,1830,active tenants
5,Positive,1830,new tenant
1,Positive,1830,large demesnes
1,Positive,1830,clear tenant
1,Positive,1830,noble land
1,Positive,1830,wealthier landlord
1,Positive,1830,worth lessee
1,Positive,1830,very tenants
2,Positive,1830,peculiar property
1,Positive,1830,new tenement
1,Positive,1830,willing property
1,Positive,1830,real landlords
1,Positive,1830,sincere landlords
1,Positive,1830,superior landlords
1,Positive,1830,most landlords
1,Positive,1830,fair feuds
4,Positive,1830,main land
1,Positive,1830,solitary landmark
1,Positive,1830,safe property
1,Positive,1830,certain rents
1,Positive,1830,amenable property
1,Positive,1830,original property
1,Positive,1830,many enclosures
1,Positive,1830,first landlords
1,Positive,1830,certain land
1,Positive,1830,positive property
1,Positive,1830,able lands
1,Positive,1830,apportioned rent
1,Positive,1830,more tenants
1,Positive,1830,certain inclosures
1,Positive,1830,first land
1,Positive,1830,extraordinary lease
2,Positive,1830,new property
1,Positive,1830,fair lands
1,Positive,1830,particular lease
1,Positive,1830,becoming splendor
1,Positive,1830,own demesne
1,Positive,1830,general depopulation
1,Positive,1830,rich landlords
1,Positive,1830,rich fiefs
1,Positive,1830,large landed
1,Positive,1830,many leaseholds
1,Positive,1830,good leaseholds
1,Positive,1830,blissful land
1,Positive,1830,leading landlords
91,Positive,1840,whole property
8,Positive,1840,very property
555,Positive,1840,real property
1,Positive,1840,strong landlord
106,Positive,1840,own property
36,Positive,1840,much land
50,Positive,1840,large property
1,Positive,1840,own rentals
9,Positive,1840,rich lands
21,Positive,1840,much property
1,Positive,1840,best property
9,Positive,1840,literary property
3,Positive,1840,exclusive property
11,Positive,1840,best land
14,Positive,1840,great landowners
32,Positive,1840,high rents
53,Positive,1840,own land
1,Positive,1840,considerable landowner
6,Positive,1840,rich land
6,Positive,1840,large rents
16,Positive,1840,fair rent
2,Positive,1840,good rent
1,Positive,1840,respectable tenants
1,Positive,1840,whole tenement
25,Positive,1840,good landlord
1,Positive,1840,fair landlord
5,Positive,1840,vested property
4,Positive,1840,charitable property
1,Positive,1830,royal splendor
1,Positive,1840,hopeful lands
1,Positive,1830,proudest landowner
14,Positive,1840,own tenantry
1,Positive,1830,free rent
1,Positive,1840,many landholders
1,Positive,1840,rich landholders
1,Positive,1830,respected property
1,Positive,1840,appropriate property
1,Positive,1830,reasonable rent
1,Positive,1830,certain landlord
1,Positive,1830,first renters
1,Positive,1830,professional property
1,Positive,1830,greater rental
8,Positive,1840,worth property
34,Positive,1840,wild lands
4,Positive,1840,valuable land
7,Positive,1840,higher rents
5,Positive,1840,much rent
1,Positive,1830,own lease
10,Positive,1840,whole rent
2,Positive,1840,ready land
14,Positive,1840,great property
1,Positive,1840,first lease
8,Positive,1840,main land
18,Positive,1840,certain property
1,Positive,1830,greatest landlord
1,Positive,1840,new property
1,Positive,1840,whole rents
3,Positive,1840,certain rent
5,Positive,1840,certain tenants
2,Positive,1840,many tenements
1,Positive,1830,humble tenant
6,Positive,1840,new leases
28,Positive,1840,considerable property
4,Positive,1840,good tenant
4,Positive,1840,full rent
22,Positive,1840,high rent
27,Positive,1840,freehold property
3,Positive,1840,many leases
3,Positive,1840,generous landlord
1,Positive,1840,happy tenants
16,Positive,1840,higher rent
1,Positive,1840,high property
3,Positive,1840,real rent
2,Positive,1840,own lease
4,Positive,1840,happy land
1,Positive,1840,increased property
37,Positive,1840,many landlords
5,Positive,1840,certain leases
1,Positive,1840,very vassal
2,Positive,1840,handsome property
1,Positive,1840,mighty rent
14,Positive,1840,available land
22,Positive,1840,more land
15,Positive,1840,new land
1,Positive,1840,own vassal
16,Positive,1840,valuable property
4,Positive,1840,new tenants
3,Positive,1840,great landowner
35,Positive,1840,fertile land
3,Positive,1840,clear rent
5,Positive,1840,greater rent
3,Positive,1840,legal property
7,Positive,1840,broad lands
1,Positive,1840,influential landlords
4,Positive,1840,excellent landlords
28,Positive,1840,good landlords
1,Positive,1830,better landed
2,Positive,1840,granting leases
14,Positive,1840,whole land
1,Positive,1840,own landlord
1,Positive,1840,certain tenements
6,Positive,1840,general property
1,Positive,1840,bright land
1,Positive,1840,secure property
17,Positive,1840,outgoing tenant
1,Positive,1830,original tenants
1,Positive,1830,first tenant
1,Positive,1830,desirable tenant
2,Positive,1840,favoured land
1,Positive,1840,devoted land
1,Positive,1840,faithful vassal
7,Positive,1840,powerful vassal
1,Positive,1830,best chattel
1,Positive,1830,valuable leases
1,Positive,1840,high landlord
2,Positive,1840,responsible tenant
5,Positive,1840,more rent
17,Positive,1840,own lands
1,Positive,1840,new rent
22,Positive,1840,own tenants
19,Positive,1840,wild land
4,Positive,1840,fresh land
32,Positive,1840,increased rent
1,Positive,1830,capable property
1,Positive,1830,increased property
1,Positive,1830,good lease
1,Positive,1830,gorgeous splendor
1,Positive,1830,united land
1,Positive,1840,prosperous land
1,Positive,1840,favour property
2,Positive,1840,improved rents
22,Positive,1840,certain lands
21,Positive,1840,good land
1,Positive,1840,smiling land
2,Positive,1840,intelligent landowner
1,Positive,1840,most landowners
1,Positive,1840,growing lands
1,Positive,1840,new landlord
1,Positive,1840,fresh leases
1,Positive,1840,richest landowners
1,Positive,1840,own villany
2,Positive,1840,richer lands
1,Positive,1840,strong lands
1,Positive,1840,real rental
2,Positive,1840,accessible property
3,Positive,1840,original property
3,Positive,1840,distinct property
3,Positive,1840,distinct tenant
7,Positive,1840,new lease
28,Positive,1840,fixed property
1,Positive,1840,adequate property
2,Positive,1840,better land
4,Positive,1840,high lands
10,Positive,1840,capable land
3,Positive,1840,freehold land
4,Positive,1840,free land
1,Positive,1840,humble tenements
2,Positive,1840,certain enclosure
2,Positive,1840,old enclosures
1,Positive,1840,complete property
1,Positive,1840,meridian splendors
1,Positive,1840,apparent rents
1,Positive,1840,many leaseholders
16,Positive,1840,best landlords
3,Positive,1840,whole tenantry
2,Positive,1840,better rents
4,Positive,1840,large landowners
6,Positive,1840,excellent landlord
1,Positive,1840,ready landlords
1,Positive,1840,advantageous tenant
6,Positive,1840,superior landlord
1,Positive,1840,compelling landlords
3,Positive,1840,respectable tenant
3,Positive,1840,increased rental
6,Positive,1840,many lands
2,Positive,1840,fixed rents
1,Positive,1840,wealthy landlord
2,Positive,1840,good rents
32,Positive,1840,whole rental
6,Positive,1840,fixed rent
1,Positive,1840,great tenant
3,Positive,1840,many tenant
5,Positive,1840,good tenants
3,Positive,1840,very land
6,Positive,1840,more property
5,Positive,1840,available property
3,Positive,1840,wise landlords
1,Positive,1840,legal absentee
1,Positive,1840,cheap land
7,Positive,1840,many tenants
3,Positive,1840,benevolent landlords
1,Positive,1840,indispensable land
4,Positive,1840,fertile lands
2,Positive,1840,kind landlord
1,Positive,1840,happier tenantry
1,Positive,1840,special allotment
1,Positive,1840,worth lands
1,Positive,1840,special property
4,Positive,1840,fine land
3,Positive,1840,particular lands
5,Positive,1840,particular property
2,Positive,1840,good eminent
1,Positive,1840,great tenantry
2,Positive,1840,great lands
1,Positive,1840,great landes
3,Positive,1840,certain landowners
4,Positive,1840,valued rental
1,Positive,1840,desirous landlords
1,Positive,1840,young landsmen
2,Positive,1840,certain rental
3,Positive,1840,most eminent
1,Positive,1840,greater land
1,Positive,1840,certain landmarks
1,Positive,1840,great landmarks
4,Positive,1840,many landowners
2,Positive,1840,free rent
3,Positive,1840,dearest property
6,Positive,1840,new tenant
1,Positive,1840,contented land
1,Positive,1840,wealthy landlords
7,Positive,1840,own rents
1,Positive,1840,full property
2,Positive,1840,excellent land
8,Positive,1840,new lands
1,Positive,1840,many allotments
1,Positive,1840,general allotment
1,Positive,1840,desired allotments
1,Positive,1840,reasonable rent
2,Positive,1840,substantial property
3,Positive,1840,whole lands
3,Positive,1840,own leases
4,Positive,1840,fair rents
1,Positive,1840,easy rent
5,Positive,1840,increased rents
1,Positive,1840,large tenant
1,Positive,1840,particular rent
3,Positive,1840,rich absentee
1,Positive,1840,much villany
1,Positive,1840,powerful landowners
1,Positive,1840,granted lands
1,Positive,1840,natural landmarks
1,Positive,1840,most rents
1,Positive,1840,whole demesne
1,Positive,1840,direct land
1,Positive,1840,cleared land
1,Positive,1840,responsible landlord
3,Positive,1840,certain landlords
3,Positive,1840,old lease
1,Positive,1840,very occupancy
1,Positive,1840,giving lands
5,Positive,1840,great landlords
1,Positive,1840,worthy landlords
8,Positive,1840,outgoing tenants
