nation,concern,decade,n
Africa,preservation of big game,1900,3
Africa,press,1900,2
Africa,prisoners,1900,2
Africa,produce,1900,2
Africa,profits,1900,1
Africa,protectorate,1880,3
Africa,protectorate,1900,6
Africa,protectorate,1910,2
Africa,province,1900,1
Africa,railway,1880,1
Africa,railway,1890,3
Africa,railway,1900,6
Africa,railway,1910,2
Africa,railway construction,1900,2
Africa,railways,1890,4
Africa,railways,1900,2
Africa,rate,1900,1
Africa,recall,1880,1
Africa,recruiting,1900,9
Africa,reinstatement,1880,1
Africa,reinstatement,1900,1
Africa,remount,1900,2
Africa,repatriation,1900,3
Africa,restoration,1880,2
Africa,right,1900,1
Africa,river,1880,10
Africa,river,1900,1
Africa,rivers,1880,1
Africa,sale,1900,2
Africa,sales,1900,2
Africa,savage,1890,2
Africa,scarcity,1900,2
Africa,seizure,1880,1
Africa,sentence,1880,2
Africa,servants,1900,1
Africa,settlement,1880,2
Africa,settlement,1900,32
Africa,settlement,1910,4
Africa,settlements,1850,1
Africa,settlements,1870,2
Africa,settlers,1900,2
Africa,shipments,1900,2
Africa,shipping,1900,6
Africa,sickness,1900,2
Africa,slave,1880,11
Africa,slave,1890,1
Africa,slave,1910,2
Africa,slave trade,1880,32
Africa,slave traffic,1890,1
Africa,slave traffic,1910,2
Africa,slavery,1890,5
Africa,slavery,1900,2
Africa,slaves,1880,1
Africa,slaves,1890,1
Africa,sleeping,1900,3
Africa,spheres,1890,1
Africa,spirits,1890,6
Africa,spirits,1900,3
Africa,squadron,1860,2
Africa,statistics,1900,1
Africa,steam,1880,2
Africa,steamers,1870,1
Africa,steamers,1900,1
Africa,steamship,1900,3
Africa,steamship,1910,2
Africa,stock,1900,1
Africa,store,1900,1
Africa,stores,1890,5
Africa,stores,1900,5
Africa,stores,1910,2
Africa,suffrage,1900,1
Africa,sugar,1900,4
Africa,suggested,1900,2
Africa,surrenders,1900,2
Africa,survey,1890,2
Africa,telegraph,1900,2
Africa,telegraph company,1900,1
Africa,telegraphists,1900,1
Africa,tenure,1900,1
Africa,times,1880,1
Africa,tobacco,1900,1
Africa,trade statistics,1900,1
Africa,traders,1870,1
Africa,trading,1900,2
Africa,traffic,1890,3
Africa,traffic,1900,6
Africa,traffic,1910,6
Africa,transmission,1870,1
Africa,transport,1900,6
Africa,transportation,1840,2
Africa,transports,1900,1
Africa,tribes,1880,1
Africa,troops,1880,2
Africa,troops,1890,16
Africa,troops,1900,54
Africa,troops,1910,4
Africa,unemployed,1900,3
Africa,union,1900,3
Africa,union,1910,2
Africa,unrest,1900,1
Africa,value,1900,1
Africa,volunteer,1900,4
Africa,warlike,1890,1
Africa,wife,1900,1
Africa,wife's,1900,1
Africa,wife's sister,1900,1
Africa,wild animals,1900,1
Africa,wireless,1900,1
Africa,women,1880,3
Africa,yacht,1880,1
Africa,yeomanry,1900,3
Africa,zambesi,1880,1
Africa,advocate,1900,2
Africa,aid,1900,2
Africa,allotment,1900,2
Africa,ammunition,1900,2
Africa,annexation,1900,1
Africa,area,1900,2
Africa,armed,1900,1
Africa,arming,1900,2
Africa,arms,1890,1
Africa,arms,1900,1
Africa,artillery,1900,2
Africa,association,1880,4
Africa,association,1890,2
Africa,auditor,1900,2
Africa,auxiliary,1880,2
Africa,auxiliary,1900,2
Africa,banishment,1900,2
Africa,banking,1900,1
Africa,banks,1900,4
Africa,bar,1900,1
Africa,battalion,1900,1
Africa,book,1900,1
Africa,boundary,1900,2
Africa,british indians,1900,1
Africa,british merchants,1900,1
Africa,british prisoners,1900,2
Africa,budget,1900,1
Africa,burning,1900,2
Africa,butler,1900,2
Africa,cable,1890,1
Africa,cable,1900,1
Africa,cards,1890,1
Africa,cars,1900,2
Africa,catholic,1900,2
Africa,catholic chaplains,1900,1
Africa,chaplains,1900,3
Africa,charges,1880,1
Africa,charges,1900,4
Africa,chartered company,1890,2
Africa,chartered company,1900,1
Africa,christian,1900,2
Africa,circulars,1900,1
Africa,civilian,1900,3
Africa,civilians,1900,1
Africa,close,1900,1
Africa,closing,1900,1
Africa,clothing,1900,1
Africa,coal,1900,3
Africa,coasting,1900,1
Africa,coasting trade,1900,1
Africa,colonies,1880,3
Africa,colonies,1900,8
Africa,colony,1900,4
Africa,commandeered,1900,4
Africa,commissioner,1880,1
Africa,commissioner,1900,1
Africa,communications,1900,1
Africa,companies,1890,2
Africa,companies,1900,6
Africa,company,1820,6
Africa,company,1860,2
Africa,company,1880,2
Africa,company,1890,12
Africa,company,1900,10
Africa,company's,1820,1
Africa,company's,1900,1
Africa,compensation,1900,6
Africa,compounds,1900,1
Africa,concentration,1900,2
Africa,concentration camps,1900,1
Africa,concession,1880,1
Africa,confederation,1870,2
Africa,confederation,1880,1
Africa,constitution,1900,1
Africa,constitutions,1900,2
Africa,contract,1900,8
Africa,contracts,1880,1
Africa,contracts,1900,12
Africa,convicts,1900,2
Africa,coolie,1900,2
Africa,coolies,1900,1
Africa,corporal,1900,1
Africa,corporal punishment,1900,2
Africa,correspondence,1890,1
Africa,cost,1900,18
Africa,cotton,1900,2
Africa,council,1900,1
Africa,country,1900,1
Africa,coutts,1900,5
Africa,crops,1900,1
Africa,cruisers,1840,1
Africa,currency,1900,1
Africa,debt,1900,1
Africa,debts,1900,2
Africa,deceased,1900,1
Africa,delimitation,1900,1
Africa,detention,1880,1
Africa,detention,1900,2
Africa,disaster,1900,1
Africa,division,1900,1
Africa,doctors,1900,1
Africa,draft,1900,1
Africa,emancipation,1900,1
Africa,employed,1900,3
Africa,employment,1900,4
Africa,equipment,1900,1
Africa,estates,1900,1
Africa,excise,1900,1
Africa,exploration,1870,2
Africa,explosive,1900,2
Africa,farm,1900,2
Africa,farm burning,1900,1
Africa,farms,1900,1
Africa,fauna,1900,1
Africa,federation,1900,1
Africa,fever,1900,2
Africa,field,1900,3
Africa,fishing,1900,2
Africa,flag,1900,1
Africa,flogging,1900,4
Africa,foreign powers,1900,1
Africa,forests,1900,2
Africa,free,1890,1
Africa,free,1900,2
Africa,free trade,1890,2
Africa,freight,1900,1
Africa,freights,1900,1
Africa,front,1900,7
Africa,game,1900,4
Africa,game licences,1900,1
Africa,garrisons,1900,1
Africa,girls,1900,1
Africa,gold,1880,2
Africa,gold,1900,8
Africa,gold,1910,4
Africa,gold mines,1900,3
Africa,gold mines,1910,6
Africa,gold mining,1900,2
Africa,good,1900,2
Africa,goods,1900,1
Africa,grass,1900,2
Africa,gratuities,1900,2
Africa,gratuity,1900,4
Africa,guns,1900,2
Africa,horses,1900,2
Africa,hospital,1900,24
Africa,hospitals,1900,1
Africa,hotel,1900,1
Africa,immigrants,1900,3
Africa,imports,1900,2
Africa,indentured,1900,1
Africa,industrial,1900,2
Africa,injury,1900,1
Africa,inquiry,1900,16
Africa,intercourse,1900,1
Africa,issue,1900,1
Africa,jam,1900,5
Africa,joint,1900,1
Africa,killing,1890,1
Africa,kitchener,1900,4
Africa,labour,1900,20
Africa,labour,1910,4
Africa,ladysmith,1900,3
Africa,land,1900,7
Africa,land,1910,4
Africa,lands,1900,4
Africa,late,1900,2
Africa,leases,1900,1
Africa,leases,1910,2
Africa,letter,1900,3
Africa,liquor,1880,2
Africa,liquor,1890,8
Africa,liquor,1900,2
Africa,liquor trade,1900,1
Africa,liquor traffic,1880,1
Africa,liquor traffic,1890,3
Africa,loyalists,1900,2
Africa,mail,1900,6
Africa,mail delays,1900,2
Africa,mails,1890,4
Africa,mails,1900,1
Africa,martial,1900,2
Africa,measures,1900,1
Africa,meat,1900,3
Africa,meat contracts,1900,1
Africa,medical,1900,11
Africa,men,1900,3
Africa,merchants,1860,1
Africa,merchants,1900,1
Africa,military stores,1900,1
Africa,milk,1900,1
Africa,mine,1900,1
Africa,mines,1900,18
Africa,mines,1910,2
Africa,mining,1890,2
Africa,mining,1900,6
Africa,mining companies,1900,2
Africa,miss,1900,1
Africa,money,1900,2
Africa,monument,1900,1
Africa,mortality,1900,2
Africa,mother,1900,1
Africa,motor,1900,1
Africa,mounted,1900,1
Africa,murder,1890,1
Africa,natural,1890,1
Africa,news,1900,2
Africa,nurses,1900,2
Africa,officers,1880,1
Africa,officers,1900,11
Africa,orange,1900,3
Africa,orange river,1900,1
Africa,orphans,1900,1
Africa,outbreak,1870,1
Africa,overtures,1900,2
Africa,patriotic,1900,1
Africa,pay,1900,2
Africa,payment,1900,2
Africa,pensions,1900,1
Africa,petition,1900,1
Africa,plague,1900,1
Africa,police,1900,2
Africa,population,1900,4
Africa,ports,1900,3
Africa,post cards,1890,1
Africa,powers,1900,1
Africa,preparations,1900,1
Africa,presbyterian,1900,1
Africa,prisoners,1900,46
Africa,prisoners of war,1900,2
Africa,private property,1900,1
Africa,proclamation,1900,6
Africa,produce,1900,2
Africa,property,1900,2
Africa,protection,1900,1
Africa,protectorate,1900,15
Africa,protectorate,1910,2
Africa,punishment,1900,1
Africa,races,1900,1
Africa,raid,1900,1
Africa,railway,1900,3
Africa,railway,1910,2
Africa,railways,1890,2
Africa,railways,1900,16
Africa,rebels,1900,6
Africa,reception,1900,2
Africa,recognition,1900,1
Africa,recruiting,1900,4
Africa,refugees,1900,4
Africa,relatives,1900,2
Africa,release,1880,1
Africa,release,1900,1
Africa,remount,1900,1
Africa,repatriation,1900,3
Africa,reserve,1900,1
Africa,responsible,1900,1
Africa,river,1900,1
Africa,rumours,1900,2
Africa,rupee,1900,1
Africa,sale,1900,3
Africa,sales,1900,1
Africa,scandal,1900,2
Africa,scarcity,1900,2
Africa,schools,1900,2
Africa,secrecy,1900,1
Africa,seizure,1880,1
Africa,servants,1900,1
Africa,settlement,1880,2
Africa,settlement,1900,12
Africa,settlements,1870,2
Africa,settlers,1900,1
Africa,ship,1900,1
Africa,shipping,1900,6
Africa,shooting,1900,1
Africa,slave,1850,1
Africa,slave,1860,2
Africa,slave,1870,2
Africa,slave,1880,2
Africa,slave,1890,3
Africa,slave trade,1850,4
Africa,slave trade,1860,4
Africa,slave trade,1890,12
Africa,slave traders,1880,1
Africa,slavery,1890,1
Africa,slavery,1900,2
Africa,slaves,1880,1
Africa,slaves,1900,1
Africa,specie,1900,2
Africa,spirits,1900,9
Africa,squadron,1850,2
Africa,squadron,1890,1
Africa,statistics,1900,3
Africa,steamship,1900,1
Africa,steamships,1900,1
Africa,storage,1900,2
Africa,store,1900,1
Africa,stores,1900,7
Africa,surrenders,1900,1
Africa,systems,1900,1
Africa,times,1900,1
Africa,tobacco,1900,1
Africa,trade statistics,1900,1
Africa,traders,1880,1
Africa,traders,1890,1
Africa,traffic,1880,3
Africa,traffic,1890,9
Africa,train,1900,2
Africa,transport,1900,10
Africa,trial,1900,1
Africa,troops,1900,24
Africa,trophies,1900,1
Africa,typhoid,1900,1
Africa,typhoid fever,1900,1
Africa,union,1880,1
Africa,union,1900,4
Africa,viceroy,1900,1
Africa,volunteer,1900,5
Africa,war honours,1900,1
Africa,wines,1900,1
Africa,workmen,1900,1
Africa,wounded,1900,4
Africa,wounded soldiers,1900,2
Africa,yacht,1880,1
Africa,yeomanry,1900,1
Albania,disturbances,1880,3
America,acreage,1900,2
America,armed,1860,1
America,boundary,1840,2
America,boundary treaty,1840,1
America,british trade,1900,1
America,confederation,1860,1
America,consuls,1820,1
America,conveyance,1840,1
America,copyright,1900,3
America,corn,1840,4
America,council,1800,2
America,council,1880,1
America,cruisers,1900,1
America,detention,1840,1
America,disease,1900,2
America,dynamite,1880,1
America,emigrants,1890,1
America,emigration,1890,3
America,explosive,1880,4
America,fisheries,1850,3
America,fishermen,1860,1
America,fishery,1870,2
America,flour,1910,4
America,foot and mouth disease,1900,1
America,hop,1900,1
America,import,1880,1
America,importation,1840,2
America,importation,1880,2
America,imported,1910,2
America,indies,1830,1
America,industry,1890,1
America,intercourse,1830,2
America,island,1860,1
America,landing,1900,1
America,lodge,1890,1
America,mail,1900,1
America,mails,1880,1
America,mails,1910,2
America,navigation,1820,2
America,offenders,1840,1
America,officers,1910,2
America,oils,1880,2
America,orange,1890,1
America,parcel,1890,3
America,parcel post,1890,1
America,parcels,1900,1
America,penny,1900,3
America,penny postage,1900,1
America,petroleum,1880,2
America,privy,1880,1
America,public works,1870,1
America,railways,1850,2
America,reciprocity,1900,1
America,recognition,1820,1
America,ships,1860,2
America,states,1860,1
America,states,1870,1
America,states,1880,3
America,steam,1840,2
America,steam communication,1840,1
America,sugar,1880,4
America,sugar,1890,4
America,telegraphic communication,1860,2
America,telegraphic communication,1890,1
America,traffic,1890,6
America,unemployment,1900,1
America,veterinary,1880,1
America,adulteration,1880,2
America,agriculture,1880,2
America,american fisheries,1850,2
America,american fisheries,1880,16
America,american fisheries,1890,2
America,american war,1860,1
America,american war,1900,1
America,ammunition,1900,2
America,armed,1880,1
America,art,1900,2
America,assurance,1890,2
America,assurances,1900,1
America,bacon,1880,2
America,boots,1900,1
America,boundary,1830,4
America,boundary,1840,8
America,boundary treaty,1840,1
America,bridge,1900,2
America,british trade,1890,1
America,carriage,1890,1
America,cattle,1870,2
America,cattle,1880,2
America,cattle,1890,8
America,cattle,1900,6
America,chaplains,1900,1
America,charitable,1900,1
America,coal,1900,6
America,coal exports,1900,2
America,colonies,1830,1
America,colonies,1840,1
America,colonies,1850,1
America,colonies,1860,2
America,colonies,1900,1
America,communications,1820,1
America,companies,1880,1
America,companies,1890,2
America,companies,1900,1
America,company,1840,2
America,company,1850,2
America,company,1860,2
America,confederation,1860,1
America,confederation,1880,1
America,contract,1890,2
America,contract,1900,2
America,contracts,1830,1
America,contracts,1870,1
America,contracts,1890,1
America,contracts,1900,2
America,conveyance,1890,1
America,conveyance,1900,1
America,copyright,1890,3
America,copyright,1900,3
America,corn,1840,4
America,correspondence,1880,1
America,cotton,1900,4
America,cruisers,1880,1
America,export,1900,2
America,exports,1900,6
America,factories,1900,1
America,farm,1900,2
America,firms,1900,1
America,fish,1900,2
America,fisheries,1850,3
America,fisheries,1880,24
America,fisheries,1890,3
America,fisheries dispute,1880,1
America,fisheries treaty,1880,1
America,fishery,1880,10
America,fishery disputes,1880,4
America,fishing,1880,6
America,flour,1840,2
America,flour,1880,2
America,flour,1900,2
America,food,1880,4
America,food,1900,2
America,freight,1900,1
America,gambling,1900,1
America,goods,1900,1
America,gooseberry,1900,6
America,gooseberry,1910,2
America,gulf,1900,1
America,hop,1900,1
America,hops,1900,1
America,hospital,1900,3
America,immigrants,1910,6
America,import,1900,1
America,importation,1840,2
America,importation,1900,2
America,importation,1910,4
America,imports,1900,6
America,industry,1900,1
America,inquiry,1900,2
America,labour,1900,2
America,land,1840,1
America,live stock,1890,1
America,locomotives,1900,1
America,loyalists,1810,2
America,loyalists,1820,1
America,mail,1830,1
America,mail,1840,2
America,mail,1870,2
America,mail,1880,1
America,mail,1890,9
America,mail,1900,9
America,mail delays,1900,1
America,mails,1860,1
America,mails,1870,1
America,mails,1880,5
America,mails,1890,13
America,mails,1900,8
America,mails,1910,6
America,manufactures,1840,1
America,marine,1900,1
America,meat,1840,1
America,meat,1900,5
America,meat,1910,2
America,meat contracts,1900,1
America,merchandize,1880,1
America,merchant,1880,1
America,ministry,1900,1
America,money,1900,2
America,newspaper,1890,2
America,newspapers,1880,2
America,nurses,1900,1
America,oils,1900,1
America,outrages,1860,1
America,packets,1840,2
America,paper,1860,1
America,passenger,1890,1
America,passengers,1900,1
America,pay,1900,1
America,petition,1810,2
America,pier,1900,1
America,piracy,1820,1
America,pleuropneumonia,1890,1
America,police,1880,1
America,police,1890,1
America,port,1900,2
America,ports,1880,1
America,ports,1900,1
America,powers,1900,1
America,prices,1900,2
America,prisoners,1900,4
America,prize,1910,2
America,protection,1910,2
America,rail,1900,1
America,railway,1900,3
America,right,1840,1
America,route,1890,2
America,route,1900,3
America,sale,1900,1
America,schools,1860,2
America,schools,1890,2
America,seamen,1900,1
America,securities,1860,1
America,settlers,1910,2
America,sheep,1890,1
America,ship,1850,1
America,ship,1900,1
America,shipping,1870,2
America,shipping,1890,2
America,shipping,1900,2
America,ships,1860,2
America,slaves,1810,1
America,states,1820,1
America,states,1830,2
America,states,1860,1
America,states,1880,2
America,steam,1840,4
America,steam,1850,2
America,steamers,1900,1
America,steamship,1860,1
America,steel,1900,2
America,stock,1890,1
America,strike,1900,1
America,suggested,1900,1
America,supervision,1880,1
America,tenders,1900,2
America,tinned,1900,3
America,trade marks,1880,1
America,traders,1900,1
America,traffic,1890,3
America,union,1860,1
America,union,1880,1
America,value,1900,1
America,vessels,1840,2
America,visitors,1880,1
America,wages,1900,2
America,war prisoners,1900,1
America,waters,1870,2
America,waters,1880,2
America,wheat,1900,5
America,wreck,1900,2
America,zollverein,1880,1
Arab,conviction,1900,1
Arab,pilgrims,1900,1
Arab,seamen,1900,1
Arab,slave,1880,2
Arab,slave traders,1880,2
Arab,steamship,1900,1
Arab,traders,1880,2
Arab,tribes,1870,1
Argentina,cattle,1900,4
Argentina,cattle,1910,8
Argentina,cattle disease,1910,2
Argentina,disease,1900,2
Argentina,disease,1910,8
Argentina,emigrants,1890,1
Argentina,exports,1910,2
Argentina,foot-and-mouth disease,1900,1
Argentina,foot-and-mouth disease,1910,2
Argentina,hay,1900,1
Argentina,horses,1900,1
Argentina,importation,1900,2
Argentina,importation,1910,4
Argentina,imports,1910,4
Argentina,revolution,1890,1
Argentina,states,1900,1
Ashanti,colonies,1910,2
Ashanti,colony,1900,1
Ashanti,disturbances,1900,6
Ashanti,investment,1900,4
Ashanti,labour,1900,2
Ashanti,lands,1910,4
Ashanti,native rising,1900,2
Atlantic_Ocean,cable,1890,1
Atlantic_Ocean,cable,1900,1
Atlantic_Ocean,cable rates,1900,1
Atlantic_Ocean,cattle,1890,4
Atlantic_Ocean,combination,1900,2
Atlantic_Ocean,company,1860,4
Atlantic_Ocean,company,1900,6
Atlantic_Ocean,cutting,1890,1
Atlantic_Ocean,dangerous,1890,1
Atlantic_Ocean,derelict,1890,1
Atlantic_Ocean,derelicts,1890,3
Atlantic_Ocean,fast,1890,1
Atlantic_Ocean,fleets,1910,2
Atlantic_Ocean,harbour,1890,1
Atlantic_Ocean,mail,1860,2
Atlantic_Ocean,mail,1890,2
Atlantic_Ocean,mail,1900,1
Atlantic_Ocean,mails,1890,1
Atlantic_Ocean,mercantile,1870,1
Atlantic_Ocean,merchant,1870,1
Atlantic_Ocean,merchant,1900,1
Atlantic_Ocean,merchant shipping,1870,2
Atlantic_Ocean,navigation,1860,2
Atlantic_Ocean,passage,1890,1
Atlantic_Ocean,passenger,1880,1
Atlantic_Ocean,passenger,1900,2
Atlantic_Ocean,petition,1860,1
Atlantic_Ocean,port,1900,1
Atlantic_Ocean,racing,1890,1
Atlantic_Ocean,route,1900,1
Atlantic_Ocean,routes,1890,2
Atlantic_Ocean,shipping,1870,2
Atlantic_Ocean,shipping,1900,22
Atlantic_Ocean,steam,1860,4
Atlantic_Ocean,steam packet,1860,1
Atlantic_Ocean,steamers,1880,1
Atlantic_Ocean,steamers,1900,1
Atlantic_Ocean,steamship,1890,1
Atlantic_Ocean,traffic,1890,3
Atlantic_Ocean,trawlers,1900,2
Atlantic_Ocean,vessels,1900,2
Atlantic_Ocean,wrecks,1890,2
Australia,admission,1900,1
Australia,birth,1900,1
Australia,book,1890,1
Australia,british indians,1890,1
Australia,cable,1890,4
Australia,cable,1900,1
Australia,cable communication,1890,2
Australia,cable communication,1900,1
Australia,cards,1880,1
Australia,colonisation,1890,1
Australia,constitution,1880,2
Australia,constitution,1890,6
Australia,constitution,1900,1
Australia,contract,1880,2
Australia,contract,1890,2
Australia,contracts,1900,1
Australia,conveyance,1880,1
Australia,convicts,1830,1
