year,grammatical_collocates,afinn,textblob,vader,combined_score
1811,stolen property,-2,0,-0.4939,-2.4939
1811,whole property,0,0.2,0,0.2
1811,other property,0,-0.125,0,-0.125
1811,available property,0,0.4,0,0.4
1812,considerable property,0,0.1,0,0.1
1812,certain property,1,0.21428571428571427,0.2732,1.487485714285714
1812,considerable property,0,0.1,0,0.1
1812,own property,0,0.6,0,0.6
1812,own land,0,0.6,0,0.6
1811,solid property,2,0,0.15310000000000001,2.1531000000000002
1811,large property,0,0.21428571428571427,0,0.21428571428571427
1811,large property,0,0.21428571428571427,0,0.21428571428571427
1812,own property,0,0.6,0,0.6
1811,respectable tenants,0,0.5,0.4404,0.9404
1811,old leases,0,0.1,0,0.1
1811,whole tenantry,0,0.2,0,0.2
1811,fresh landlords,1,0.3,0.3182,1.6182
1811,other landlord,0,-0.125,0,-0.125
1811,po- land,0,0,-0.5574,-0.5574
1812,oppressive landlords,-2,0,-0.4019,-2.4019
1812,few leases,0,-0.2,0,-0.2
1811,little property,0,-0.1875,0,-0.1875
1819,much land,0,0.2,0,0.2
1819,certain allotment,1,0.21428571428571427,0.2732,1.487485714285714
1819,whole rental,0,0.2,0,0.2
1819,whole rental,0,0.2,0,0.2
1812,real property,0,0.2,0,0.2
1812,other property,0,-0.125,0,-0.125
1819,own property,0,0.6,0,0.6
1812,long leases,0,-0.05,0,-0.05
1812,common leases,0,-0.3,0,-0.3
1812,agreed rent,1,0,0.2732,1.2732
1812,considerable property,0,0.1,0,0.1
1812,peculiar property,0,0,0.15310000000000001,0.15310000000000001
1812,own chattels,0,0.6,0,0.6
1812,own property,0,0.6,0,0.6
1819,many eminent,0,0.5,0,0.5
1819,other eminent,0,-0.125,0,-0.125
1819,most property,0,0.5,0,0.5
1819,real property,0,0.2,0,0.2
1819,real property,0,0.2,0,0.2
1819,real property,0,0.2,0,0.2
1819,ancient feuds,0,0,-0.34,-0.34
1812,valuable property,0,0,0.4767,0.4767
1812,real property,0,0.2,0,0.2
1815,freehold property,0,0,0.1779,0.1779
1819,happy land,3,0.8,0.5719,4.3719
1812,miserable tenants,-3,-1,-0.4939,-4.4939
1812,real property,0,0.2,0,0.2
1812,real property,0,0.2,0,0.2
1812,real property,0,0.2,0,0.2
1812,considerable property,0,0.1,0,0.1
1819,smiling land,2,0,0.4588,2.4588
1819,freehold property,0,0,0.1779,0.1779
1819,other property,0,-0.125,0,-0.125
1819,whole property,0,0.2,0,0.2
1813,more property,0,0.5,0,0.5
1819,much land,0,0.2,0,0.2
1812,dry land,0,-0.06666666666666665,0,-0.06666666666666665
1812,religious feuds,0,0,-0.34,-0.34
1812,considerable property,0,0.1,0,0.1
1812,internal feuds,0,0,-0.34,-0.34
1812,large property,0,0.21428571428571427,0,0.21428571428571427
1812,own land,0,0.6,0,0.6
1819,considerable property,0,0.1,0,0.1
1811,unfortunate tenant,0,-0.5,-0.4588,-0.9588
1811,large property,0,0.21428571428571427,0,0.21428571428571427
1811,due rents,0,-0.125,0,-0.125
1812,common enclosure,0,-0.3,0,-0.3
1812,freehold property,0,0,0.1779,0.1779
1811,whole property,0,0.2,0,0.2
1819,large property,0,0.21428571428571427,0,0.21428571428571427
1819,great property,3,0.8,0.6249,4.4249
1811,considerable property,0,0.1,0,0.1
1811,due rent,0,-0.125,0,-0.125
1811,certain landholder,1,0.21428571428571427,0.2732,1.487485714285714
1811,great landholder,3,0.8,0.6249,4.4249
1811,great property,3,0.8,0.6249,4.4249
1811,large rent,0,0.21428571428571427,0,0.21428571428571427
1811,old leases,0,0.1,0,0.1
1811,old leases,0,0.1,0,0.1
1811,own tenants,0,0.6,0,0.6
1811,new lease,0,0.13636363636363635,0,0.13636363636363635
1811,long lease,0,-0.05,0,-0.05
1811,greater rent,3,0.5,0.3612,3.8612
1811,long lease,0,-0.05,0,-0.05
1811,own property,0,0.6,0,0.6
1812,other property,0,-0.125,0,-0.125
1811,political feuds,0,0,-0.34,-0.34
1819,real property,0,0.2,0,0.2
1819,real property,0,0.2,0,0.2
1819,other property,0,-0.125,0,-0.125
1811,particular tenant,0,0.16666666666666666,0,0.16666666666666666
1811,large property,0,0.21428571428571427,0,0.21428571428571427
1811,large property,0,0.21428571428571427,0,0.21428571428571427
1811,large property,0,0.21428571428571427,0,0.21428571428571427
1811,other landlords,0,-0.125,0,-0.125
1811,many landlords,0,0.5,0,0.5
1811,whole property,0,0.2,0,0.2
1811,favourable landholders,2,0,0,2
1813,common land,0,-0.3,0,-0.3
1812,own rent,0,0.6,0,0.6
1812,ordinary rent,0,-0.25,0,-0.25
1812,original landlord,0,0.375,0.3182,0.6932
1812,original rent,0,0.375,0.3182,0.6932
1812,greater rent,3,0.5,0.3612,3.8612
1812,low rents,0,0,-0.2732,-0.2732
1812,small rents,0,-0.25,0,-0.25
1812,original landlord,0,0.375,0.3182,0.6932
1812,small rent,0,-0.25,0,-0.25
1812,great property,3,0.8,0.6249,4.4249
1812,distressed property,-2,0,-0.4215,-2.4215
1812,other landlords,0,-0.125,0,-0.125
1812,great property,3,0.8,0.6249,4.4249
1812,benevolent landlord,3,0,0.5719,3.5719
1812,considerable property,0,0.1,0,0.1
1813,great property,3,0.8,0.6249,4.4249
1813,own tenantry,0,0.6,0,0.6
1811,other property,0,-0.125,0,-0.125
1811,foreign land,0,-0.125,0,-0.125
1812,foreign property,0,-0.125,0,-0.125
1812,long leases,0,-0.05,0,-0.05
1812,other property,0,-0.125,0,-0.125
1812,long leases,0,-0.05,0,-0.05
1812,long leases,0,-0.05,0,-0.05
1812,foreign land,0,-0.125,0,-0.125
1812,real property,0,0.2,0,0.2
1812,real property,0,0.2,0,0.2
1812,valuable lease,0,0,0.4767,0.4767
1812,greatest rent,3,1,0.6369,4.6369
1811,real property,0,0.2,0,0.2
1811,real property,0,0.2,0,0.2
1812,poor land,-2,-0.4,-0.4767,-2.8767
1812,desirable property,2,0,0.3182,2.3182
1811,whole property,0,0.2,0,0.2
1811,general property,0,0.05000000000000002,0,0.05000000000000002
1811,own property,0,0.6,0,0.6
1819,whole property,0,0.2,0,0.2
1819,particular land,0,0.16666666666666666,0,0.16666666666666666
1819,unvaried splendor,0,0,0.61240000000000006,0.61240000000000006
1812,foreign land,0,-0.125,0,-0.125
1812,freehold property,0,0,0.1779,0.1779
1812,real property,0,0.2,0,0.2
1812,common lands,0,-0.3,0,-0.3
1812,ancient feuds,0,0,-0.34,-0.34
1817,best land,3,1,0.6369,4.6369
1817,best lands,3,1,0.6369,4.6369
1811,higher rent,0,0.25,0,0.25
1811,harsh landlord,-2,-0.2,-0.4404,-2.6404
1811,own property,0,0.6,0,0.6
1811,whole property,0,0.2,0,0.2
1812,freehold property,0,0,0.1779,0.1779
1812,own property,0,0.6,0,0.6
1812,whole land,0,0.2,0,0.2
1812,whole land,0,0.2,0,0.2
1812,distant land,0,-0.1,0,-0.1
1812,magnificent property,3,1,0.5994,4.5994
1812,great property,3,0.8,0.6249,4.4249
1811,oppressed tenants,-2,0,-0.4767,-2.4767
1811,dishonest landlords,-2,-0.3,-0.5719,-2.8718999999999997
1811,due rent,0,-0.125,0,-0.125
1811,many tenants,0,0.5,0,0.5
1811,honest tenants,2,0.6,0.5106,3.1106000000000003
1811,beneficial leases,0,0,0.4404,0.4404
1811,more rent,0,0.5,0,0.5
1811,increased rent,1,0,0.2732,1.2732
1811,increased rent,1,0,0.2732,1.2732
1811,particular landlord,0,0.16666666666666666,0,0.16666666666666666
1811,great property,3,0.8,0.6249,4.4249
1811,respectable landlord,0,0.5,0.4404,0.9404
1812,fresh lease,1,0.3,0.3182,1.6182
1812,many landholders,0,0.5,0,0.5
1813,freehold property,0,0,0.1779,0.1779
1813,freehold property,0,0,0.1779,0.1779
1813,valuable property,0,0,0.4767,0.4767
1814,considerable property,0,0.1,0,0.1
1814,freehold property,0,0,0.1779,0.1779
1814,little property,0,-0.1875,0,-0.1875
1814,real property,0,0.2,0,0.2
1812,great landholders,3,0.8,0.6249,4.4249
1814,own land,0,0.6,0,0.6
1814,considerable property,0,0.1,0,0.1
1814,considerable property,0,0.1,0,0.1
1814,very land,0,0.2,0,0.2
1814,real property,0,0.2,0,0.2
1814,many landholders,0,0.5,0,0.5
1814,considerable property,0,0.1,0,0.1
1814,long leases,0,-0.05,0,-0.05
1814,much land,0,0.2,0,0.2
1814,more lands,0,0.5,0,0.5
1814,fine land,2,0.4166666666666667,0.2023,2.6189666666666667
1814,own land,0,0.6,0,0.6
1814,poor land,-2,-0.4,-0.4767,-2.8767
1814,considerable property,0,0.1,0,0.1
1813,own property,0,0.6,0,0.6
1812,own property,0,0.6,0,0.6
1814,real property,0,0.2,0,0.2
1814,real property,0,0.2,0,0.2
1814,real property,0,0.2,0,0.2
1814,whole rents,0,0.2,0,0.2
1814,real property,0,0.2,0,0.2
1814,real property,0,0.2,0,0.2
1814,real property,0,0.2,0,0.2
1814,real property,0,0.2,0,0.2
1814,real property,0,0.2,0,0.2
1814,subject property,0,-0.16666666666666666,0,-0.16666666666666666
1814,real property,0,0.2,0,0.2
1814,real property,0,0.2,0,0.2
1814,real property,0,0.2,0,0.2
1814,real property,0,0.2,0,0.2
1812,considerable property,0,0.1,0,0.1
1812,much property,0,0.2,0,0.2
1819,considerable property,0,0.1,0,0.1
1819,certain property,1,0.21428571428571427,0.2732,1.487485714285714
1815,foreign land,0,-0.125,0,-0.125
1817,large property,0,0.21428571428571427,0,0.21428571428571427
1815,large property,0,0.21428571428571427,0,0.21428571428571427
1815,gross rental,-2,0,-0.4767,-2.4767
1815,advanced rents,1,0.4,0.25,1.65
1819,favoured land,2,0,0.4215,2.4215
1815,foreign land,0,-0.125,0,-0.125
1815,other property,0,-0.125,0,-0.125
1815,real property,0,0.2,0,0.2
1815,own property,0,0.6,0,0.6
1815,other property,0,-0.125,0,-0.125
1815,real property,0,0.2,0,0.2
1815,real property,0,0.2,0,0.2
1815,large property,0,0.21428571428571427,0,0.21428571428571427
1815,own property,0,0.6,0,0.6
1815,freehold property,0,0,0.1779,0.1779
1815,vested property,1,0,0.15310000000000001,1.1531
1815,whole rent,0,0.2,0,0.2
1815,long lease,0,-0.05,0,-0.05
1815,certain property,1,0.21428571428571427,0.2732,1.487485714285714
1815,other property,0,-0.125,0,-0.125
1817,valuable leases,0,0,0.4767,0.4767
1815,foreign property,0,-0.125,0,-0.125
1819,own property,0,0.6,0,0.6
1819,favourable leases,2,0,0,2
1817,whole property,0,0.2,0,0.2
1817,real property,0,0.2,0,0.2
1817,distant lands,0,-0.1,0,-0.1
1817,unfortunate tenants,0,-0.5,-0.4588,-0.9588
1817,greatest property,3,1,0.6369,4.6369
1815,oppressed vassal,-2,0,-0.4767,-2.4767
1815,other property,0,-0.125,0,-0.125
1815,other property,0,-0.125,0,-0.125
1819,own property,0,0.6,0,0.6
1810,own demesne,0,0.6,0,0.6
1810,own demesne,0,0.6,0,0.6
1810,single eminent,0,-0.07142857142857142,0,-0.07142857142857142
1819,rich landlord,2,0.375,0.5574,2.9324
1817,other property,0,-0.125,0,-0.125
1817,vested property,1,0,0.15310000000000001,1.1531
1809,other property,0,-0.125,0,-0.125
1809,great rents,3,0.8,0.6249,4.4249
1817,other property,0,-0.125,0,-0.125
1817,real property,0,0.2,0,0.2
1817,little property,0,-0.1875,0,-0.1875
1817,competent property,2,0.5,0.3182,2.8182
1817,greatest landholders,3,1,0.6369,4.6369
1817,great property,3,0.8,0.6249,4.4249
1809,foreign property,0,-0.125,0,-0.125
1819,whole property,0,0.2,0,0.2
1811,single tenant,0,-0.07142857142857142,0,-0.07142857142857142
1811,many lands,0,0.5,0,0.5
1810,liable property,0,-0.1,0,-0.1
1809,whole property,0,0.2,0,0.2
1809,certain leaseholders,1,0.21428571428571427,0.2732,1.487485714285714
1809,competent property,2,0.5,0.3182,2.8182
1810,whole property,0,0.2,0,0.2
1819,great landholders,3,0.8,0.6249,4.4249
1819,considerable landholders,0,0.1,0,0.1
1809,good landlord,3,0.7,0.4404,4.1404000000000005
1809,large property,0,0.21428571428571427,0,0.21428571428571427
1809,own tenants,0,0.6,0,0.6
1809,respectable tenant,0,0.5,0.4404,0.9404
1815,whole property,0,0.2,0,0.2
1819,old rents,0,0.1,0,0.1
1817,considerable property,0,0.1,0,0.1
1817,other property,0,-0.125,0,-0.125
1817,little property,0,-0.1875,0,-0.1875
1819,much land,0,0.2,0,0.2
1819,large property,0,0.21428571428571427,0,0.21428571428571427
1810,rich lands,2,0.375,0.5574,2.9324
1819,high property,0,0.16,0,0.16
1819,whole property,0,0.2,0,0.2
1819,excessive rentals,0,-0.25,0,-0.25
1811,high rents,0,0.16,0,0.16
1815,considerable property,0,0.1,0,0.1
1819,more property,0,0.5,0,0.5
1819,great landholders,3,0.8,0.6249,4.4249
1815,right property,0,0.2857142857142857,0,0.2857142857142857
1819,considerable property,0,0.1,0,0.1
1815,inferior lands,-2,0,-0.4019,-2.4019
1815,incapable lands,-2,0,-0.3818,-2.3818
1815,considerable landholders,0,0.1,0,0.1
1815,considerable landholder,0,0.1,0,0.1
1815,high rents,0,0.16,0,0.16
1815,great landholders,3,0.8,0.6249,4.4249
1815,full property,0,0.35,0,0.35
1815,own property,0,0.6,0,0.6
1814,distant land,0,-0.1,0,-0.1
1814,whole rental,0,0.2,0,0.2
1819,less property,0,-0.16666666666666666,0,-0.16666666666666666
1815,inferior lands,-2,0,-0.4019,-2.4019
1815,poor lands,-2,-0.4,-0.4767,-2.8767
1815,greater rent,3,0.5,0.3612,3.8612
1815,many landlords,0,0.5,0,0.5
1815,single tenant,0,-0.07142857142857142,0,-0.07142857142857142
1814,other property,0,-0.125,0,-0.125
1815,long leases,0,-0.05,0,-0.05
1815,apt lands,0,0.6,0,0.6
1815,own tenants,0,0.6,0,0.6
1815,old rents,0,0.1,0,0.1
1815,true landlord,2,0.35,0.4215,2.7715
1815,higher rents,0,0.25,0,0.25
1815,high rents,0,0.16,0,0.16
1815,much land,0,0.2,0,0.2
1815,high rents,0,0.16,0,0.16
1815,new lease,0,0.13636363636363635,0,0.13636363636363635
1815,little property,0,-0.1875,0,-0.1875
1815,own property,0,0.6,0,0.6
1815,freehold property,0,0,0.1779,0.1779
1815,much land,0,0.2,0,0.2
1815,good lands,3,0.7,0.4404,4.1404000000000005
1815,inferior lands,-2,0,-0.4019,-2.4019
1815,high rents,0,0.16,0,0.16
1815,high rents,0,0.16,0,0.16
1814,own property,0,0.6,0,0.6
1819,whole property,0,0.2,0,0.2
1819,charitable property,2,0.6,0.4019,3.0019
1819,own property,0,0.6,0,0.6
1819,other property,0,-0.125,0,-0.125
1817,other property,0,-0.125,0,-0.125
1819,real property,0,0.2,0,0.2
1819,other property,0,-0.125,0,-0.125
1819,other property,0,-0.125,0,-0.125
1817,whole property,0,0.2,0,0.2
1817,whole rental,0,0.2,0,0.2
1817,whole property,0,0.2,0,0.2
1817,little property,0,-0.1875,0,-0.1875
1817,other property,0,-0.125,0,-0.125
1817,other property,0,-0.125,0,-0.125
1817,foreign lands,0,-0.125,0,-0.125
1817,happy land,3,0.8,0.5719,4.3719
1817,solid land,2,0,0.15310000000000001,2.1531000000000002
1817,real property,0,0.2,0,0.2
1817,own property,0,0.6,0,0.6
1817,much property,0,0.2,0,0.2
1819,considerable property,0,0.1,0,0.1
1819,freehold property,0,0,0.1779,0.1779
1819,large inclosures,0,0.21428571428571427,0,0.21428571428571427
1819,new lease,0,0.13636363636363635,0,0.13636363636363635
1819,miserable enclosures,-3,-1,-0.4939,-4.4939
1817,real property,0,0.2,0,0.2
1817,real property,0,0.2,0,0.2
1817,real property,0,0.2,0,0.2
1817,real property,0,0.2,0,0.2
1819,own property,0,0.6,0,0.6
1819,whole property,0,0.2,0,0.2
1819,own property,0,0.6,0,0.6
1819,much property,0,0.2,0,0.2
1819,valuable property,0,0,0.4767,0.4767
1819,other property,0,-0.125,0,-0.125
1819,common property,0,-0.3,0,-0.3
1819,peculiar property,0,0,0.15310000000000001,0.15310000000000001
1819,much property,0,0.2,0,0.2
1819,much property,0,0.2,0,0.2
1819,large rents,0,0.21428571428571427,0,0.21428571428571427
1819,greater property,3,0.5,0.3612,3.8612
1819,common lands,0,-0.3,0,-0.3
1819,large property,0,0.21428571428571427,0,0.21428571428571427
1819,other property,0,-0.125,0,-0.125
1819,freehold tenements,0,0,0.1779,0.1779
1820,small rent,0,-0.25,0,-0.25
1820,certain lands,1,0.21428571428571427,0.2732,1.487485714285714
1820,very property,0,0.2,0,0.2
1820,new property,0,0.13636363636363635,0,0.13636363636363635
1820,other chattels,0,-0.125,0,-0.125
1820,valuable chattels,0,0,0.4767,0.4767
1820,new property,0,0.13636363636363635,0,0.13636363636363635
1820,own splendor,0,0.6,0.61240000000000006,1.2124000000000001
1819,own property,0,0.6,0,0.6
1819,peculiar property,0,0,0.15310000000000001,0.15310000000000001
1819,real property,0,0.2,0,0.2
1818,small property,0,-0.25,0,-0.25
1818,own property,0,0.6,0,0.6
1818,other property,0,-0.125,0,-0.125
1818,large property,0,0.21428571428571427,0,0.21428571428571427
1818,considerable property,0,0.1,0,0.1
1819,great landholders,3,0.8,0.6249,4.4249
1819,exclusive property,2,0,0.128,2.128
1819,whole property,0,0.2,0,0.2
1819,stolen property,-2,0,-0.4939,-2.4939
1819,real splendor,0,0.2,0.61240000000000006,0.8124
1819,single landholder,0,-0.07142857142857142,0,-0.07142857142857142
1819,useless splendor,-2,-0.5,0.296,-2.204
1819,freehold property,0,0,0.1779,0.1779
1819,long leases,0,-0.05,0,-0.05
1819,particular property,0,0.16666666666666666,0,0.16666666666666666
1819,real property,0,0.2,0,0.2
1819,real property,0,0.2,0,0.2
1819,stolen property,-2,0,-0.4939,-2.4939
1819,other property,0,-0.125,0,-0.125
1819,whole property,0,0.2,0,0.2
1819,real property,0,0.2,0,0.2
1819,peculiar property,0,0,0.15310000000000001,0.15310000000000001
1819,real property,0,0.2,0,0.2
1819,own property,0,0.6,0,0.6
1819,much property,0,0.2,0,0.2
1819,other property,0,-0.125,0,-0.125
1818,much property,0,0.2,0,0.2
1818,other property,0,-0.125,0,-0.125
1818,other property,0,-0.125,0,-0.125
1818,other property,0,-0.125,0,-0.125
1818,other property,0,-0.125,0,-0.125
1818,real property,0,0.2,0,0.2
1820,commercial splendor,0,0,0.61240000000000006,0.61240000000000006
1818,own villanies,0,0.6,0,0.6
1818,own property,0,0.6,0,0.6
1820,freehold property,0,0,0.1779,0.1779
1820,ancient splendor,0,0,0.61240000000000006,0.61240000000000006
1819,greater splendor,3,0.5,0.7579,4.2579
1818,other property,0,-0.125,0,-0.125
1818,whole property,0,0.2,0,0.2
1818,particular lands,0,0.16666666666666666,0,0.16666666666666666
1818,other lands,0,-0.125,0,-0.125
1818,other property,0,-0.125,0,-0.125
1818,other property,0,-0.125,0,-0.125
1818,other property,0,-0.125,0,-0.125
1818,little property,0,-0.1875,0,-0.1875
1820,higher rents,0,0.25,0,0.25
1820,small allotments,0,-0.25,0,-0.25
1820,common lands,0,-0.3,0,-0.3
1818,own property,0,0.6,0,0.6
1820,whole property,0,0.2,0,0.2
1820,much land,0,0.2,0,0.2
1820,new land,0,0.13636363636363635,0,0.13636363636363635
1820,more lands,0,0.5,0,0.5
1820,certain lands,1,0.21428571428571427,0.2732,1.487485714285714
1813,mere tenant,0,-0.5,0,-0.5
1813,certain property,1,0.21428571428571427,0.2732,1.487485714285714
1813,own property,0,0.6,0,0.6
1814,important landmarks,2,0.4,0.2023,2.6023
1811,full property,0,0.35,0,0.35
1813,promised land,1,0,0.3612,1.3612
1813,many landowners,0,0.5,0,0.5
1811,great fiefs,3,0.8,0.6249,4.4249
1811,other property,0,-0.125,0,-0.125
1813,more property,0,0.5,0,0.5
1811,own land,0,0.6,0,0.6
1811,whole property,0,0.2,0,0.2
1811,other property,0,-0.125,0,-0.125
1811,more rent,0,0.5,0,0.5
1811,poor tenantry,-2,-0.4,-0.4767,-2.8767
1811,old lease,0,0.1,0,0.1
1811,whole land,0,0.2,0,0.2
1811,old lease,0,0.1,0,0.1
1811,original tenants,0,0.375,0.3182,0.6932
1811,more rent,0,0.5,0,0.5
1817,little property,0,-0.1875,0,-0.1875
1817,best property,3,1,0.6369,4.6369
1817,other property,0,-0.125,0,-0.125
1809,own tenantry,0,0.6,0,0.6
1809,own tenantry,0,0.6,0,0.6
1809,own tenantry,0,0.6,0,0.6
1809,vested property,1,0,0.15310000000000001,1.1531
1809,military occupancy,0,-0.1,0,-0.1
1809,fertile lands,2,0,0,2
1817,other property,0,-0.125,0,-0.125
1817,certain property,1,0.21428571428571427,0.2732,1.487485714285714
1817,other property,0,-0.125,0,-0.125
1817,good landlords,3,0.7,0.4404,4.1404000000000005
1817,little property,0,-0.1875,0,-0.1875
1817,other property,0,-0.125,0,-0.125
1817,certain property,1,0.21428571428571427,0.2732,1.487485714285714
1817,particular property,0,0.16666666666666666,0,0.16666666666666666
1817,freehold property,0,0,0.1779,0.1779
1809,high rents,0,0.16,0,0.16
1809,greater property,3,0.5,0.3612,3.8612
1809,whole property,0,0.2,0,0.2
1809,long lease,0,-0.05,0,-0.05
1817,great landholders,3,0.8,0.6249,4.4249
1809,fixed rent,0,0.1,0,0.1
1817,own property,0,0.6,0,0.6
1817,other property,0,-0.125,0,-0.125
1817,other property,0,-0.125,0,-0.125
1817,real property,0,0.2,0,0.2
1809,poor tenants,-2,-0.4,-0.4767,-2.8767
1809,real property,0,0.2,0,0.2
1809,own rents,0,0.6,0,0.6
1809,other property,0,-0.125,0,-0.125
1820,much property,0,0.2,0,0.2
1820,becoming splendor,0,0.45,0.61240000000000006,1.0624
1820,due splendor,0,-0.125,0.61240000000000006,0.48740000000000006
1820,ostentatious splendor,0,0,0.61240000000000006,0.61240000000000006
1820,proper splendor,0,0,0.61240000000000006,0.61240000000000006
1820,monarchical splendor,0,0,0.61240000000000006,0.61240000000000006
1820,absolute property,0,0.2,0,0.2
1820,real property,0,0.2,0,0.2
1820,own property,0,0.6,0,0.6
1820,low rental,0,0,-0.2732,-0.2732
1820,own property,0,0.6,0,0.6
1820,gaudy splendor,0,0,0.61240000000000006,0.61240000000000006
1820,considerable property,0,0.1,0,0.1
1820,dry land,0,-0.06666666666666665,0,-0.06666666666666665
1826,good lands,3,0.7,0.4404,4.1404000000000005
1820,worst land,-3,-1,-0.6249,-4.6249
1820,bad land,-3,-0.6999999999999998,-0.5423,-4.2423
1820,small property,0,-0.25,0,-0.25
1820,inferior land,-2,0,-0.4019,-2.4019
1820,much rent,0,0.2,0,0.2
1820,much property,0,0.2,0,0.2
1820,hardy tenantry,2,0,0.4019,2.4019
1820,inferior lands,-2,0,-0.4019,-2.4019
1820,fertile land,2,0,0,2
1820,bad land,-3,-0.6999999999999998,-0.5423,-4.2423
1820,poor lands,-2,-0.4,-0.4767,-2.8767
1820,bad land,-3,-0.6999999999999998,-0.5423,-4.2423
1820,poor land,-2,-0.4,-0.4767,-2.8767
1820,poor land,-2,-0.4,-0.4767,-2.8767
1820,indifferent land,-2,0,-0.2023,-2.2023
1820,whole land,0,0.2,0,0.2
1820,poor lands,-2,-0.4,-0.4767,-2.8767
1825,large property,0,0.21428571428571427,0,0.21428571428571427
1825,available property,0,0.4,0,0.4
1825,much property,0,0.2,0,0.2
1825,much property,0,0.2,0,0.2
1824,little property,0,-0.1875,0,-0.1875
1826,small property,0,-0.25,0,-0.25
1826,own property,0,0.6,0,0.6
1826,own allotment,0,0.6,0,0.6
1821,high rents,0,0.16,0,0.16
1826,large property,0,0.21428571428571427,0,0.21428571428571427
1826,whole property,0,0.2,0,0.2
1826,due rent,0,-0.125,0,-0.125
1825,admitted property,-1,0,0.1027,-0.8973
1825,own property,0,0.6,0,0.6
1825,whole rent,0,0.2,0,0.2
1825,own property,0,0.6,0,0.6
1821,real property,0,0.2,0,0.2
1821,free vassals,1,0.4,0.5106,1.9106
1826,real property,0,0.2,0,0.2
1821,real property,0,0.2,0,0.2
1821,hard landlord,-1,-0.2916666666666667,-0.1027,-1.3943666666666668
1821,general property,0,0.05000000000000002,0,0.05000000000000002
1821,real property,0,0.2,0,0.2
1821,own lands,0,0.6,0,0.6
1820,considerable property,0,0.1,0,0.1
1821,certain property,1,0.21428571428571427,0.2732,1.487485714285714
1821,real property,0,0.2,0,0.2
1821,considerable property,0,0.1,0,0.1
1826,real property,0,0.2,0,0.2
1826,substantial property,1,0,0.2023,1.2023
1826,other property,0,-0.125,0,-0.125
1826,little property,0,-0.1875,0,-0.1875
1821,good lands,3,0.7,0.4404,4.1404000000000005
1821,happy land,3,0.8,0.5719,4.3719
1821,real property,0,0.2,0,0.2
1821,poor property,-2,-0.4,-0.4767,-2.8767
1826,high rents,0,0.16,0,0.16
1826,high rents,0,0.16,0,0.16
1826,high rents,0,0.16,0,0.16
1826,bad land,-3,-0.6999999999999998,-0.5423,-4.2423
1826,bad land,-3,-0.6999999999999998,-0.5423,-4.2423
1826,high rents,0,0.16,0,0.16
1826,high rents,0,0.16,0,0.16
1826,dangerous property,-2,-0.6,-0.4767,-3.0767
